domain_family_map_id,domain_id,domain_name,source_type,source_id,family_name,subfamily_name,intent,expression_count,source_count,mapping_confidence,matched_domain_terms,created_at
PDFM-000001,PDO-SUB-001,Submission and Proposal Management,candidate_family,CEF-000001,Residual Discovery,,Manual Review,133,154,0.9,proposal;submission;proposal volume;amendment;offer;communication;volume clarification,2026-06-27 11:09:14
PDFM-000002,PDO-TECH-001,Technical Requirements,candidate_family,CEF-000002,Product and Materials,,Technical Requirement,27,44,0.9,technical;product;materials,2026-06-27 11:09:14
PDFM-000003,PDO-PERF-001,Performance and Operations,candidate_family,CEF-000003,Workforce Management,,Performance,11,13,0.9,performance;contractor shall;workforce;staffing;services;supervision,2026-06-27 11:09:14
PDFM-000004,PDO-SUB-001,Submission and Proposal Management,candidate_family,CEF-000004,Submission Logistics,,Submission,9,10,0.9,proposal;submission;offer,2026-06-27 11:09:14
PDFM-000005,PDO-LOG-001,Delivery and Logistics,candidate_family,CEF-000005,Contract Administration,,Administration,9,9,0.8,delivery;transportation,2026-06-27 11:09:14
PDFM-000006,PDO-PERF-001,Performance and Operations,candidate_family,CEF-000006,Cemetery Operations,,Domain Requirement,9,9,0.9,performance;contractor shall;services;operations,2026-06-27 11:09:14
PDFM-000007,PDO-LOG-001,Delivery and Logistics,candidate_family,CEF-000007,Delivery and Logistics,,Delivery,8,12,0.9,delivery;destination;logistics;fob;shipment,2026-06-27 11:09:14
PDFM-000008,PDO-SUB-001,Submission and Proposal Management,candidate_family,CEF-000008,Past Performance Administration,,Supplier Evidence,8,17,0.9,proposal;amendment;communication,2026-06-27 11:09:14
PDFM-000009,PDO-ACQ-001,Acquisition Strategy,candidate_family,CEF-000009,Solicitation Metadata,,Acquisition Metadata,8,18,0.9,solicitation metadata;rfq;rfp;ifb;notice;acquisition metadata;method of solicitation;pre-solicitation;request for proposal;invitation for bid,2026-06-27 11:09:14
PDFM-000010,PDO-SUB-001,Submission and Proposal Management,candidate_family,CEF-000010,Proposal Administration,,Submission Clarification,7,10,0.9,proposal;submission;amendment;offer,2026-06-27 11:09:14
PDFM-000011,PDO-DOC-001,Document Structure and Administrative Forms,candidate_family,CEF-000011,Document Forms and Tables,,Document Structure,7,10,0.9,document;form;table;page of pages;administered by code;document structure,2026-06-27 11:09:14
PDFM-000012,PDO-COMP-001,"Legal, Compliance, and Labor",candidate_family,CEF-000012,Labor and Local Compliance,,Compliance,7,8,0.9,compliance;labor;davis-bacon;local compliance,2026-06-27 11:09:14
PDFM-000013,PDO-PERF-001,Performance and Operations,candidate_family,CEF-000013,Performance Work Statement,,Performance,4,5,0.8,performance;services,2026-06-27 11:09:14
PDFM-000014,PDO-ACQ-001,Acquisition Strategy,candidate_family,CEF-000014,Market Research,,Market Research,2,2,0.9,market research;market survey;rfi;rfq,2026-06-27 11:09:14
PDFM-000015,PDO-SUP-001,Supplier Eligibility and Qualifications,candidate_family,CEF-000015,Supplier Authorization,,Supplier Eligibility,1,1,0.9,supplier;eligibility;oem authorization,2026-06-27 11:09:14
PDFM-000016,PDO-DOMAIN-001,Domain-Specific Operations,candidate_subfamily,CESF-000001,Domain Specific Operations,Cemetery Operations and Dignity,Domain Requirement,13,13,0.9,cemetery;domain specific;dignity;national cemetery;cemetery operations,2026-06-27 11:09:14
PDFM-000017,PDO-DOC-001,Document Structure and Administrative Forms,candidate_subfamily,CESF-000002,Document Fragment,Form Fragment or OCR Table Row,Document Structure Cleanup,12,18,0.9,document;form;table;ocr;document fragment;administered by code;form fragment;table row;document structure,2026-06-27 11:09:14
PDFM-000018,PDO-PERF-001,Performance and Operations,candidate_subfamily,CESF-000003,Mandatory Requirement,Contractor Shall Requirement,Mandatory Performance Requirement,11,11,0.9,performance;contractor shall;mandatory requirement;workforce;services,2026-06-27 11:09:14
PDFM-000019,PDO-SUB-001,Submission and Proposal Management,candidate_subfamily,CESF-000004,Submission Communication,Email and Correspondence Instruction,Communication Workflow,9,10,0.9,proposal;submission;email;correspondence;communication,2026-06-27 11:09:14
PDFM-000020,PDO-PERF-001,Performance and Operations,candidate_subfamily,CESF-000005,Contractor Responsibility,Contractor Accountability and Supervision,Performance Responsibility,9,10,0.9,performance;contractor shall;contractor responsibility;services;contractor accountability;supervision;performance responsibility,2026-06-27 11:09:14
PDFM-000021,PDO-ACQ-001,Acquisition Strategy,candidate_subfamily,CESF-000006,Solicitation Metadata,Solicitation Identification and Method,Acquisition Metadata,7,16,0.9,solicitation metadata;rfq;rfp;ifb;acquisition metadata;request for proposal;invitation for bid,2026-06-27 11:09:14
PDFM-000022,PDO-SUB-001,Submission and Proposal Management,candidate_subfamily,CESF-000007,Proposal Clarification,Proposal Volume Clarification,Submission Clarification,6,8,0.9,proposal;submission;proposal clarification;proposal volume;offer;volume clarification,2026-06-27 11:09:14
PDFM-000023,PDO-COM-001,Commercial and Pricing,candidate_subfamily,CESF-000008,Payment and Invoice,Invoice Submission and Payment,Payment Administration,6,9,0.9,price;payment;invoice;payment administration;invoice submission,2026-06-27 11:09:14
PDFM-000024,PDO-LOG-001,Delivery and Logistics,candidate_subfamily,CESF-000009,Delivery Location,Destination and Delivery Site,Delivery Logistics,5,8,0.9,delivery;destination;logistics;fob;place of performance;loading dock;delivery location;delivery site,2026-06-27 11:09:14
PDFM-000025,PDO-SUB-001,Submission and Proposal Management,candidate_subfamily,CESF-000010,Amendment Handling,Offer Amendment Change Procedure,Submission Compliance,4,14,0.9,submission;amendment;offer;communication;submission compliance;offer amendment,2026-06-27 11:09:14
PDFM-000026,PDO-SUP-001,Supplier Eligibility and Qualifications,candidate_subfamily,CESF-000011,Past Performance Evidence,Contract Reference Evidence,Supplier Evidence,4,5,0.9,supplier;past performance;contract reference;supplier evidence,2026-06-27 11:09:14
PDFM-000027,PDO-COMP-001,"Legal, Compliance, and Labor",candidate_subfamily,CESF-000012,Healthcare and Privacy,Healthcare Privacy and PHI,Privacy Compliance,4,4,0.9,compliance;privacy;phi;healthcare privacy,2026-06-27 11:09:14
PDFM-000028,PDO-ACQ-001,Acquisition Strategy,candidate_subfamily,CESF-000013,Market Research Notice,Non-Solicitation Notice Disclaimer,Acquisition Metadata,3,3,0.9,market research;rfi;rfq;notice;acquisition metadata;request for proposal;invitation for bid,2026-06-27 11:09:14
PDFM-000029,PDO-SUP-001,Supplier Eligibility and Qualifications,candidate_subfamily,CESF-000014,Supplier Authorization,Manufacturer Authorization and Grey Market,Supplier Eligibility,3,3,0.9,supplier;eligibility;authorized distributor;manufacturer authorization;grey market;oem authorization,2026-06-27 11:09:14
PDFM-000030,PDO-TECH-001,Technical Requirements,candidate_subfamily,CESF-000015,Product Availability,Vendor Product Capability,Market Capability,2,2,0.9,product;product availability;vendor product capability,2026-06-27 11:09:14
