semantic_object_id,semantic_object_type_id,semantic_object_type,canonical_name,domain_id,domain_name,subdomain_name,intent,lifecycle_state,evidence_count,supporting_canonical_expression_ids,supporting_expression_names,semantic_rule_ids,official_registry_id,ontology_domain_id,knowledge_graph_node_id,embedding_id,confidence,governance_status,pkv_version,created_at,updated_at
SPO2-000001,SOT-000005,Submission Instruction,Solicitation Amendment,PDO-SUB-001,Submission and Proposal Management,,Submission Compliance,reviewed,5,CPX2-000002;CPX2-000005;CPX2-000015;CPX2-000053;CPX2-000055,Numbered Solicitation Is Amended;Solicitation Amendment;Solicitation Amendment Acknowledgement;Solicitation Amendment or Modification;Solicitation Is Amended,SRL-000007,,PDO-SUB-001,,,0.902,ready_for_scoring,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000002,SOT-000014,Domain Specific Requirement,National Cemetery Operations,PDO-DOMAIN-001,Domain-Specific Operations,,Domain Requirement,reviewed,6,CPX2-000001;CPX2-000003;CPX2-000045;CPX2-000047;CPX2-000049;CPX2-000058,Affairs National Cemetery;Black Hills National Cemetery;Hills National Cemetery;National Cemetery Administration;National Cemetery Operations;Veterans Affairs National Cemetery,SRL-000038,,PDO-DOMAIN-001,,,0.89,ready_for_scoring,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000003,SOT-000015,Acquisition Metadata,Solicitation Number,PDO-ACQ-001,Acquisition Strategy,,Acquisition Metadata,candidate,1,CPX2-000010,Solicitation Number,SRL-000021,,PDO-ACQ-001,,,0.777,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000004,SOT-000001,Contract Type,Firm Fixed Price,PDO-COM-001,Commercial and Pricing,,Contract Type,candidate,1,CPX2-000004,Firm Fixed Price,SRL-000001,,PDO-COM-001,,,0.805,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000005,SOT-000007,Pricing Structure,Unit Price,PDO-COM-001,Commercial and Pricing,,Pricing,candidate,1,CPX2-000006,Unit Price,SRL-000011,,PDO-COM-001,,,0.79,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000006,SOT-000006,Procurement Role,Contracting Officer,PDO-ACQ-001,Acquisition Strategy,,Procurement Role,candidate,1,CPX2-000007,Contracting Officer,SRL-000009,,PDO-ACQ-001,,,0.802,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000007,SOT-000009,Technical Requirement,Performance Work Statement,PDO-TECH-001,Technical Requirements,,Technical Requirement,candidate,1,CPX2-000009,Performance Work Statement,SRL-000014,,PDO-TECH-001,,,0.811,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000008,SOT-000003,Evaluation Factor,Evaluation Factors,PDO-EVAL-001,Evaluation and Source Selection,,Evaluation Factor,candidate,1,CPX2-000008,Evaluation Factors,SRL-000004,,PDO-EVAL-001,,,0.74,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000009,SOT-000013,Document Structure Object,Table of Contents,PDO-DOC-001,Document Structure and Administrative Forms,,Document Structure,candidate,1,CPX2-000011,Table of Contents,SRL-000036,,PDO-DOC-001,,,0.704,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000010,SOT-000008,Supplier Qualification,Past Performance,PDO-SUP-001,Supplier Eligibility and Qualifications,,Supplier Evidence,candidate,1,CPX2-000013,Past Performance,SRL-000005,,PDO-SUP-001,,,0.734,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000011,SOT-000015,Acquisition Metadata,Request for Information,PDO-ACQ-001,Acquisition Strategy,,Market Research,candidate,1,CPX2-000025,Request for Information,SRL-000023,,PDO-ACQ-001,,,0.761,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000012,,Administrative Service Labor Category,Administrative Support and Clerical,,Performance and Operations,,Recognized Semantic Entity,candidate,1,CPX2-000016,Administrative Support And Clerical,,,,,,0.76,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000013,SOT-000004,Proposal Structure,Proposal Volume,PDO-SUB-001,Submission and Proposal Management,,Proposal Structure,candidate,1,CPX2-000018,Proposal Volume,SRL-000006,,PDO-SUB-001,,,0.719,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000014,,Uninterpreted Expression,Solicitation Metadata,,,,Needs Review,draft,1,CPX2-000020,Solicitation Metadata,,,,,,0.428,needs_review,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000015,SOT-000015,Acquisition Metadata,Combined Synopsis Solicitation,PDO-ACQ-001,Acquisition Strategy,,Solicitation Method,candidate,2,CPX2-000039;CPX2-000041,Combined Synopsis Solicitation;Synopsis Solicitation,SRL-000027,,PDO-ACQ-001,,,0.769,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000016,SOT-000008,Supplier Qualification,Small Business Set-Aside,PDO-SUP-001,Supplier Eligibility and Qualifications,,Socioeconomic Eligibility,candidate,1,CPX2-000021,Small Business Set-Aside,SRL-000040,,PDO-SUP-001,,,0.706,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000017,,Uninterpreted Expression,Amendments Of Solicitations,,,,Needs Review,draft,1,CPX2-000022,Amendments Of Solicitations,,,,,,0.45,needs_review,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000018,SOT-000011,Delivery Requirement,Place of Performance,PDO-LOG-001,Delivery and Logistics,,Delivery Logistics,candidate,1,CPX2-000024,Place of Performance,SRL-000018,,PDO-LOG-001,,,0.74,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000019,SOT-000015,Acquisition Metadata,Method of Solicitation,PDO-ACQ-001,Acquisition Strategy,,Acquisition Metadata,candidate,1,CPX2-000032,Method of Solicitation,SRL-000022,,PDO-ACQ-001,,,0.718,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
