discovery_id,expression_id,canonical_statement_id,reason,suggested_family,status,expression_text,created_at
PELDISC-000001,PEL-000001,CGS-000001,no_expression_family_match,,needs_review,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 - Solicitation Administration & Proposal Submission Q1.1 - Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",2026-06-26 09:36:38
PELDISC-000002,PEL-000002,CGS-000002,no_expression_family_match,,needs_review,Please confirm whether the offeror is expected to submit four bound volumes or five separate volumes.,2026-06-26 09:36:38
PELDISC-000003,PEL-000003,CGS-000003,no_expression_family_match,,needs_review,"The reference to ""four (4) separately electronically submitted bound Volumes"" is a typographical error.",2026-06-26 09:36:38
PELDISC-000004,PEL-000004,CGS-000004,no_expression_family_match,,needs_review,Offerors shall submit five (5) proposal volumes as identified in the solicitation:,2026-06-26 09:36:38
PELDISC-000005,PEL-000007,CGS-000007,no_expression_family_match,,needs_review,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,2026-06-26 09:36:38
PELDISC-000006,PEL-000009,CGS-000009,no_expression_family_match,,needs_review,Offerors shall submit Volume V in accordance with the solicitation instructions.,2026-06-26 09:36:38
PELDISC-000007,PEL-000011,CGS-000011,no_expression_family_match,,needs_review,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,2026-06-26 09:36:38
PELDISC-000008,PEL-000013,CGS-000013,no_expression_family_match,,needs_review,"ADMINISTERED BY CODE SSS National Headquarters (NHQ) Selective Service System, 1501 Wilson Blvd, Suite 700 Same As Issuing Office Arlington, VA, 22209, US (Number, street, county, State and ZIP Code) (X) 8.",2026-06-26 09:36:38
PELDISC-000009,PEL-000019,CGS-000019,no_expression_family_match,,needs_review,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.,2026-06-26 09:36:38
PELDISC-000010,PEL-000020,CGS-000020,no_expression_family_match,,needs_review,"We are currently in the process of preparing our proposal for the Selective Service System Website Modernization Requirement, Solicitation Number 90MC0026R0004.",2026-06-26 09:36:38
