staging_node_id,semantic_object_v3_id,semantic_object_id,node_type,canonical_name,domain_name,confidence,graph_status,population_status,source_registry,created_at
KGSTN-000001,SPO3-000001,SPO2-000001,Submission Instruction,Solicitation Amendment,Submission and Proposal Management,0.902,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000002,SPO3-000002,SPO2-000002,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,0.89,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000003,SPO3-000004,SPO2-000004,Contract Type,Firm Fixed Price,Commercial and Pricing,0.805,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000004,SPO3-000006,SPO2-000006,Procurement Role,Contracting Officer,Acquisition Strategy,0.802,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000005,SPO3-000007,SPO2-000007,Technical Requirement,Performance Work Statement,Technical Requirements,0.811,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000006,SPO3-000022,SPO2-000022,Evaluation Method,Award Basis,Evaluation and Source Selection,0.82,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000007,SPO3-000023,SPO2-000023,Military Installation,Marine Corps Base Camp Lejeune,Domain-Specific Operations,0.92,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000008,SPO3-000024,SPO2-000025,Military Organization,United States Army,Domain-Specific Operations,0.82,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000009,SPO3-000025,SPO2-000026,Contract Type,Firm Fixed Price,Commercial and Pricing,0.84,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000010,SPO3-000026,SPO2-000029,Military Organization,United States Marine Corps,Domain-Specific Operations,0.86,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000011,SPO3-000028,SPO2-000031,Regulation Set,FAR and DOSAR Provisions,"Legal, Compliance, and Labor",0.86,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000012,SPO3-000029,SPO2-000032,Federal Agency,Food and Drug Administration,Acquisition Strategy,0.92,graph_ready,ready_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000013,SPO3-000003,SPO2-000003,Acquisition Metadata,Solicitation Number,Acquisition Strategy,0.777,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000014,SPO3-000005,SPO2-000005,Pricing Structure,Unit Price,Commercial and Pricing,0.79,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
