category_record_id,opportunity_id,node_id,canonical_name,node_type,domain_name,category,confidence,graph_status,created_at
OPPCAT-000001,OPPINT-000001,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission and Proposal Management,Submission,0.902,graph_ready,2026-06-30 11:19:16
OPPCAT-000002,OPPINT-000001,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,Domain-Specific Operations,Domain,0.89,graph_ready,2026-06-30 11:19:16
OPPCAT-000003,OPPINT-000001,KGNODE2-000003,Firm Fixed Price,Contract Type,Commercial and Pricing,Commercial,0.84,graph_ready,2026-06-30 11:19:16
OPPCAT-000004,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition Strategy,Acquisition,0.802,graph_ready,2026-06-30 11:19:16
OPPCAT-000005,OPPINT-000001,KGNODE2-000005,Performance Work Statement,Technical Requirement,Technical Requirements,Technical,0.811,graph_ready,2026-06-30 11:19:16
OPPCAT-000006,OPPINT-000001,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation and Source Selection,Evaluation,0.82,graph_ready,2026-06-30 11:19:16
OPPCAT-000007,OPPINT-000001,KGNODE2-000007,Marine Corps Base Camp Lejeune,Military Installation,Domain-Specific Operations,Operations,0.92,graph_ready,2026-06-30 11:19:16
OPPCAT-000008,OPPINT-000001,KGNODE2-000008,United States Army,Military Organization,Domain-Specific Operations,Operations,0.82,graph_ready,2026-06-30 11:19:16
OPPCAT-000009,OPPINT-000001,KGNODE2-000009,United States Marine Corps,Military Organization,Domain-Specific Operations,Operations,0.86,graph_ready,2026-06-30 11:19:16
OPPCAT-000010,OPPINT-000001,KGNODE2-000010,FAR and DOSAR Provisions,Regulation Set,"Legal, Compliance, and Labor",Compliance,0.86,graph_ready,2026-06-30 11:19:16
OPPCAT-000011,OPPINT-000001,KGNODE2-000011,Food and Drug Administration,Federal Agency,Acquisition Strategy,Agency,0.92,graph_ready,2026-06-30 11:19:16
OPPCAT-000012,OPPINT-000001,KGNODE2-000012,Solicitation Number,Acquisition Metadata,Acquisition Strategy,Acquisition,0.777,graph_candidate,2026-06-30 11:19:16
OPPCAT-000013,OPPINT-000001,KGNODE2-000013,Unit Price,Pricing Structure,Commercial and Pricing,Commercial,0.79,graph_candidate,2026-06-30 11:19:16
OPPCAT-000014,OPPINT-000001,KGNODE2-000014,Evaluation Factors,Evaluation Factor,Evaluation and Source Selection,Evaluation,0.74,graph_candidate,2026-06-30 11:19:16
OPPCAT-000015,OPPINT-000001,KGNODE2-000015,Table of Contents,Document Structure Object,Document Structure and Administrative Forms,Documentation,0.704,graph_candidate,2026-06-30 11:19:16
OPPCAT-000016,OPPINT-000001,KGNODE2-000016,Past Performance,Supplier Qualification,Supplier Eligibility and Qualifications,Supplier,0.734,graph_candidate,2026-06-30 11:19:16
OPPCAT-000017,OPPINT-000001,KGNODE2-000017,Request for Information,Acquisition Metadata,Acquisition Strategy,Acquisition,0.761,graph_candidate,2026-06-30 11:19:16
OPPCAT-000018,OPPINT-000001,KGNODE2-000018,Administrative Support and Clerical,Administrative Service Labor Category,Performance and Operations,Labour,0.76,graph_candidate,2026-06-30 11:19:16
OPPCAT-000019,OPPINT-000001,KGNODE2-000019,Proposal Volume,Proposal Structure,Submission and Proposal Management,Proposal,0.719,graph_candidate,2026-06-30 11:19:16
OPPCAT-000020,OPPINT-000001,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition Strategy,Acquisition,0.769,graph_candidate,2026-06-30 11:19:16
OPPCAT-000021,OPPINT-000001,KGNODE2-000021,Small Business Set-Aside,Supplier Qualification,Supplier Eligibility and Qualifications,Supplier,0.706,graph_candidate,2026-06-30 11:19:16
OPPCAT-000022,OPPINT-000001,KGNODE2-000022,Place of Performance,Delivery Requirement,Delivery and Logistics,Delivery,0.74,graph_candidate,2026-06-30 11:19:16
OPPCAT-000023,OPPINT-000001,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,Acquisition Strategy,Acquisition,0.718,graph_candidate,2026-06-30 11:19:16
OPPCAT-000024,OPPINT-000001,KGNODE2-000024,Request for Proposal,Acquisition Metadata,Acquisition Strategy,Acquisition,0.743,graph_candidate,2026-06-30 11:19:16
OPPCAT-000025,OPPINT-000001,KGNODE2-000025,Statement of Work,Technical Requirement,Technical Requirements,Technical,0.727,graph_candidate,2026-06-30 11:19:16
OPPCAT-000026,OPPINT-000001,KGNODE2-000026,Amendment Copy Requirement,Procurement Document Artifact,Document Structure and Administrative Forms,Documentation,0.78,graph_candidate,2026-06-30 11:19:16
OPPCAT-000027,OPPINT-000001,KGNODE2-000027,Proposal Default Index,Proposal Document Artifact,Document Structure and Administrative Forms,Documentation,0.72,graph_candidate,2026-06-30 11:19:16
OPPCAT-000028,OPPINT-000001,KGNODE2-000028,Request for Quotation,Acquisition Metadata,Acquisition Strategy,Acquisition,0.712,graph_candidate,2026-06-30 11:19:16
OPPCAT-000029,OPPINT-000001,KGNODE2-000029,Payment and Invoice,Pricing Structure,Commercial and Pricing,Commercial,0.701,graph_candidate,2026-06-30 11:19:16
