source_file,column_name,likely_type,sample_population_pct,business_asset_class,business_value,possible_products,commercial_value_score,readiness_adjusted_score,priority,sample_values
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Regina | Regina | Regina | Regina | Regina | Regina | Regina | Regina | Regina | Regina
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-eng,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Ottawa | Montreal | Bedford | Bedford | Bedford | Bedford | Bedford | Victoria | Victoria | Victoria
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-eng,text,97.3,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Ottawa | Gatineau | Ottawa | Ottawa | Gatineau | Ottawa | Ottawa | Ottawa | Ottawa | Gatineau
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Regina | Regina | Regina | Regina | Regina | Regina | Regina | Regina | Regina | Regina
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau | Gatineau
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Ottawa | Montreal | Bedford | Bedford | Bedford | Bedford | Bedford | Victoria | Victoria | Victoria
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,text,97.3,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Ottawa | Gatineau | Ottawa | Ottawa | Gatineau | Ottawa | Ottawa | Ottawa | Ottawa | Gatineau
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,text,97.4,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-fra,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-fra,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-fra,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressCountry-entiteContractanteAdressePays-fra,text,97.4,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,"11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage | 11 Laurier St, Phase III, Place du Portage"
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-eng,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,"150 Slater | 3 Place Ville-Marie, Suite 500 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | Address pending | Address pending | Address pending"
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-eng,text,97.3,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,"200 Kent St, Station 13E228 | 30 Victoria Street | 200 Kent St, Station 13E228 | 1341 Baseline Road | 11 Laurier St, Phase III, Place du Portage | Constitution Square, 19th Floor, 350 Albert Street | Constitution Square, 19th Floor, 350 Albert Street | 73 Leikin Dr | 73 Leikin Dr | 11 Laurier St, Phase III, Place du Portage"
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,"11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage | 11, rue Laurier, Phase III, Place du Portage"
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,"150 Slater | 3 Place Ville-Marie, Suite 500 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | Address pending | Address pending | Address pending"
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,text,97.3,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,"200, rue Kent, station 13E228 | 30, rue Victoria | 200, rue Kent, station 13E228 | 1341, chemin Baseline | 11, rue Laurier, Phase III, Place du Portage | Constitution Square, 19e étage, 350, rue Albert | Constitution Square, 19e étage, 350, rue Albert | 73, promenade Leikin | 73, promenade Leikin | 11, rue Laurier, Phase III, Place du Portage"
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,K1A 0S5 | K1A 0S5 | K1A 0S5 | K1A 0S5 | K1A 0S5 | K1A 0S5 | K1A 0S5 | K1A 0S5 | K1A 0S5 | K1A 0S5
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,K1A 1K3 | H3B 2C9 | B4B 0V1 | B4B 0V1 | B4B 0V1 | B4B 0V1 | B4B 0V1 | V8W 2M6 | V8W 2M6 | V8W 2M6
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,text,97.3,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,K1A 0E6 | J8X 0B3 | K1A 0E6 | K1A0C5 | K1A 0S5 | K1A 0K3 | K1A 0K3 | K1AOR2 | K1AOR2 | K1A 0S5
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Quebec | Quebec | Quebec | Quebec | Quebec | Quebec | Quebec | Quebec | Quebec | Quebec
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Ontario | Quebec | Nova Scotia | Nova Scotia | Nova Scotia | Nova Scotia | Nova Scotia | British Columbia | British Columbia | British Columbia
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,text,97.3,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Ontario | Quebec | Ontario | Ontario | Quebec | Ontario | Ontario | Ontario | Ontario | Quebec
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Québec | Québec | Québec | Québec | Québec | Québec | Québec | Québec | Québec | Québec
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra,text,97.2,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Ontario | Québec | Nouvelle-Écosse | Nouvelle-Écosse | Nouvelle-Écosse | Nouvelle-Écosse | Nouvelle-Écosse | Colombie Britannique | Colombie Britannique | Colombie Britannique
archived_2009_2022_legacy_tender_notices.csv,contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra,text,97.3,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Ontario | Québec | Ontario | Ontario | Québec | Ontario | Ontario | Ontario | Ontario | Québec
all_canadabuys_award_notices_2022_08_08_onwards.csv,contractingEntityName-nomEntitContractante-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC)
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,contractingEntityName-nomEntitContractante-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada
all_canadabuys_contract_history_2023_06_01_onwards.csv,contractingEntityName-nomEntitContractante-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada
legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,contractingEntityName-nomEntitContractante-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada
all_canadabuys_tender_notices_2022_08_08_onwards.csv,contractingEntityName-nomEntitContractante-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Export Development Canada - EDC | VIA Rail Canada Inc. | Defence Construction Canada - Atlantic Region | Defence Construction Canada - Atlantic Region | Defence Construction Canada - Atlantic Region | Defence Construction Canada - Atlantic Region | Defence Construction Canada - Atlantic Region | Defence Construction Canada - Pacific Region | Defence Construction Canada - Pacific Region | Defence Construction Canada - Pacific Region
archived_2009_2022_legacy_tender_notices.csv,contractingEntityName-nomEntitContractante-eng,text,100.0,Buyer Intelligence,"Supports department profiles, buyer segmentation, and procurement behavior.",Department Scorecards; Buyer Targeting; Government Account Intelligence,10,10,high,Fisheries and Oceans Canada | Parks Canada | Fisheries and Oceans Canada | Agriculture and Agri-Food Canada | Public Works and Government Services Canada | Defence Construction Canada | Defence Construction Canada | Royal Canadian Mounted Police | Royal Canadian Mounted Police | Public Works and Government Services Canada
