review_queue_id,semantic_object_id,semantic_object_type,canonical_name,domain_name,confidence_band,final_confidence_score,evidence_count,priority,review_reason,review_status,created_at
SRPQ-000029,SPO2-000029,Uninterpreted Expression,Cl Marine Corps Base,,low,0.378,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000031,SPO2-000031,Uninterpreted Expression,Far And Dosar Provisions,,low,0.378,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000032,SPO2-000032,Uninterpreted Expression,Food And Drug Administration,,low,0.378,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000034,SPO2-000034,Uninterpreted Expression,Renovation Cl Marine Corps,,low,0.378,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000023,SPO2-000023,Uninterpreted Expression,Corps Base Camp Lejeune,,low,0.38,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000024,SPO2-000024,Uninterpreted Expression,Marine Corps Base Camp,,low,0.38,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000012,SPO2-000012,Uninterpreted Expression,Administrative Support And Clerical,,low,0.404,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000025,SPO2-000025,Uninterpreted Expression,Army Mil Proposal Default,,low,0.414,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000026,SPO2-000026,Uninterpreted Expression,Award A Firm Fixed,,low,0.414,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000027,SPO2-000027,Uninterpreted Expression,Award Will Be Made,,low,0.414,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000028,SPO2-000028,Uninterpreted Expression,Chess Army Mil Proposal,,low,0.414,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000030,SPO2-000030,Uninterpreted Expression,Copies Of The Amendment,,low,0.414,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000033,SPO2-000033,Uninterpreted Expression,Mil Proposal Default Index,,low,0.414,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000014,SPO2-000014,Uninterpreted Expression,Solicitation Metadata,,low,0.428,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000022,SPO2-000022,Uninterpreted Expression,Award A Contract,,low,0.432,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000017,SPO2-000017,Uninterpreted Expression,Amendments Of Solicitations,,low,0.45,1,high,uninterpreted_expression,pending,2026-06-28 17:16:16
SRPQ-000036,SPO2-000036,Pricing Structure,Payment and Invoice,Commercial and Pricing,medium,0.701,1,medium,medium_confidence_review_recommended,pending,2026-06-28 17:16:16
SRPQ-000009,SPO2-000009,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,medium,0.704,1,medium,medium_confidence_review_recommended,pending,2026-06-28 17:16:16
SRPQ-000016,SPO2-000016,Supplier Qualification,Small Business Set-Aside,Supplier Eligibility and Qualifications,medium,0.706,1,medium,medium_confidence_review_recommended,pending,2026-06-28 17:16:16
SRPQ-000035,SPO2-000035,Acquisition Metadata,Request for Quotation,Acquisition Strategy,medium,0.712,1,medium,medium_confidence_review_recommended,pending,2026-06-28 17:16:16
