candidate_family_id,suggested_family_name,suggested_intent,expression_count,source_count,evidence_count,confidence,recommended_action,sample_expressions,created_at
CEF-000001,Residual Discovery,Manual Review,133,154,154,0.85,review_candidate_family,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 - Solicitation Administration & Proposal Submission Q1.1 - Proposal volume clarification - Section L 2.a  || Offerors shall submit five (5) proposal volumes as identified in the solicitation: || Offerors shall submit Volume V in accordance with the solicitation instructions. || If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electronic || Such contract employees shall be accountable solely to the Contractor who, in turn shall be responsible to the U.S.",2026-06-26 11:04:39
CEF-000002,Product and Materials,Technical Requirement,27,44,44,0.85,approve_candidate_family,"2 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED DD One Time With Material DRAFT FINAL A 8. || 3 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED One Time DD With Material DRAFT FINAL A 8.APP. || The VHA Network Contracting Office 6 (NCO 6) is conducting a market survey to find qualified vendors who can provide the following item: || If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation. || If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products.",2026-06-26 11:04:39
CEF-000003,Workforce Management,Performance,11,13,13,0.85,approve_candidate_family,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration,  || The United States (U.S.) Government shall not exercise any supervision or control over the Contractor's employees performing the tasks herein. || The Contractor shall always maintain an adequate workforce for performance of all tasks defined within this Performance Work Statement (PWS). || and all necessary staffing, management and maintenance required to perform these services. || DIGNITY CLAUSE Respect for Headstones and Markers in National Cemeteries Handling of Markers and Headstones Every action by contractor personnel at a national cemetery must be perf",2026-06-26 11:04:39
CEF-000004,Submission Logistics,Submission,9,10,10,0.75,approve_candidate_family,"We are currently in the process of preparing our proposal for the Selective Service System Website Modernization Requirement, Solicitation Number 90MC0026R0004. || 2.1 You are invited to submit a quote/offer in response to Solicitation W912CL-26-R- A004 by 15:00 PM CST on 24 June 2026. || SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19. || Failure to submit an authorized distributor letter shall result in the product(s) potentially offered to be considered ""grey market"". || Unrestricted - no set-aside Responses to this notice shall include the following:",2026-06-26 11:04:39
CEF-000005,Contract Administration,Administration,9,9,9,0.75,approve_candidate_family,"Questionnaire must be submitted via email directly to the Contracting Officer and Contract Specialist from a corporate email account. || The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR). || The transportation/delivery of material to the cemetery will be provided by the vendor and offloaded in a designated location provided by the COR at the time of delivery. || Additionally, should any activity result in the exposure and/or damage to any remains, container for remains (e.g., casket or urn), or outer burial container, the contractor must c || Any doubts as to proper procedures shall be brought to the attention of the COR, Director/Assistant Director, or",2026-06-26 11:04:39
CEF-000006,Cemetery Operations,Domain Requirement,9,9,9,0.75,approve_candidate_family,"The utmost care must be given to these remains and the headstones and flat grave markers that mark those gravesites and memorialize the service of individuals. || Contractor shall be responsible for replacing damaged headstones and markers and for restoring turf damaged during performance of this work. || Department of Veterans Affairs National Cemetery Administration, Contract Services 18434 Joplin Road Triangle, VA 22172 Place of Performance: || Black Hills National Cemetery 20901 Pleasant Valley Dr, Sturgis, SD 57785 Attachments: || ADDRESS OFFER TO Department of Veterans Affairs Daniel.kinney@va.gov National Cemetery Administration Contracting Services 18434 Joplin Road Triangle VA 22172 9.",2026-06-26 11:04:39
CEF-000007,Delivery and Logistics,Delivery,8,12,12,0.75,approve_candidate_family,"RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FO || REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: || Each Data Item Submitted by Vendor must be Submitted under a Separate Shipment Number. || ADMINISTERED BY CODE 36C246 See Delivery Schedule Department of Veterans Affairs Network Contracting Office 6 100 Emancipation Dr. || Description Unit Max Qty 0001 Provide ¾"" Road Base Gravel (1 qty = 1 ton) Each 90 0002 Provide Crushed Fines (1 qty = 1 ton) Each 90 0003 Provide 3/8"" Clean Gravel Chips (1 qty = 1",2026-06-26 11:04:39
CEF-000008,Past Performance Administration,Supplier Evidence,8,17,17,0.75,approve_candidate_family,"or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers. || As part of our proposal, we have listed you as a reference on our performance for this type of service with your agency under the previous/current contract listed below. || Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evalua || List any National Cemetery Administration (NCA) contracts currently working or previously worked first followed by Non-NCA contracts. || or (c) By separate letter or electronic communication which includes a reference to the solicitation and amend",2026-06-26 11:04:39
CEF-000009,Solicitation Metadata,Acquisition Metadata,8,18,18,0.75,approve_candidate_family,"METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 70 || GENERAL INFORMATION CONTACT INFORMATION ADDITIONAL INFORMATION DESCRIPTION This pre-solicitation notice is not a request for formal proposals or quotes. || This notice does NOT constitute a request for proposals, request for quote, or invitation for bid. || METHOD OF SOLICITATION UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST FOR INVITATION REQUEST FOR SEE SCHEDULE AND ALLOCATIONS QUOTE (RFQ) FOR BID (IFB) PROPOSAL (RFP) SYSTEM || It is neither a solicitation announcement nor a request for proposals or quotes and does not obligate the Government to award a contract.",2026-06-26 11:04:39
CEF-000010,Proposal Administration,Submission Clarification,7,10,10,0.75,approve_candidate_family,"Please confirm whether the offeror is expected to submit four bound volumes or five separate volumes. || The reference to ""four (4) separately electronically submitted bound Volumes"" is a typographical error. || Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only. || Please confirm which quantity governs for quoting and contract performance-64 per the SOW or 48 per the Price/Cost Schedule-and issue an amendment or written clarification before t || Could you please confirm whether the delivery location has a loading dock available, or if a lift gate will be required for delivery?",2026-06-26 11:04:39
