context_id,notice_id,opportunity_title,coverage_status,framework_type,framework_confidence,source_eval_language_count,evaluation_atom_count,accepted_eval_record_count,evaluation_context_type,matched_pattern,context_confidence,recommended_action,sample_evidence
ECTX-000001,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),partial_coverage,LPTA,0.8,2,3,0,evaluation_framework,award will be made,0.9,promote_to_framework_recovery,"An award will be made based on the lowest priced, technically acceptable proposal."
ECTX-000002,a3e0948c660849a5815153897d456f7d,EcoStruxure Panel Server Wired by Design (a universal concentrator Modbus gateway),partial_coverage,LPTA,0.8,2,3,0,evaluation_framework,award will be made,0.9,promote_to_framework_recovery,"An award will be made based on the lowest priced, technically acceptable proposal."
ECTX-000003,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,partial_coverage,Unknown,0.35,6,2,1,unknown_context,,0.3,manual_review,"Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evaluated."
ECTX-000004,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,partial_coverage,Unknown,0.35,1,1,1,evaluation_framework,most advantageous to the government,0.9,promote_to_framework_recovery,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria)."
ECTX-000005,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,remaining_extraction_gap,Unknown,0.25,1,3,0,non_procurement_evaluation,implementation and evaluation of this program,0.75,exclude_from_procurement_evaluation,Facility Directors are responsible for the implementation and evaluation of this program at their facilities.
ECTX-000006,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,remaining_extraction_gap,Unknown,0.25,2,1,0,evaluation_navigation,past performance questionnaire,0.8,use_as_evaluation_section_pointer,Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is intended for use as source selection information and as such is deemed Source Selection Sensitive.
ECTX-000007,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,remaining_extraction_gap,Unknown,0.25,5,1,0,pricing_or_contract_structure,unit price,0.75,route_to_pricing_structure_intelligence,TABLE OF CONTENTS SECTION 1 - THE SCHEDULE  SF-1449 cover sheet  Block 20 – SCHEDULE OF SUPPLIES/SERVICES  Block 23 – UNIT PRICE  Attachment A - Statement of Work  Attachment B - Equipment List  Attachment C - Bavak Test Protocol (Specific to Bavak Speed Gate)  Attachment D - Inspection Report (Specific to Bavak Speedgate)  Attachment E - Payment Registration Form – Pesos  Attachment F - Payment Registration– USD to a bank in the United States  Attachment G - Payment Registration– USD
ECTX-000008,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,remaining_extraction_gap,Unknown,0.25,13,3,0,evaluation_navigation,volume iii.*past performance,0.8,use_as_evaluation_section_pointer,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
ECTX-000009,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,remaining_extraction_gap,,,1,0,0,non_procurement_evaluation,product information for evaluation,0.75,exclude_from_procurement_evaluation,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation."
ECTX-000010,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),remaining_extraction_gap,,,1,0,0,evaluation_navigation,section m,0.8,use_as_evaluation_section_pointer,Section M – Evaluation Factors • M.2 Evaluation Approach:
ECTX-000011,a466be2cf94e451f8b4b88177dd2f9dc,Secure Document Destruction - No Cost,remaining_extraction_gap,,,1,0,0,unknown_context,,0.3,manual_review,"This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in FAR Subpart 12.6, Streamlined Procedures for Evaluation and Solicitation for Commercial Products and Commercial Services as supplemented with additional information included in this notice."
ECTX-000012,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,source_gap_or_not_sampled,Unknown,0.25,0,1,0,unknown_context,,0.3,manual_review,
ECTX-000013,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,source_gap_or_not_sampled,Unknown,0.25,0,2,0,unknown_context,,0.3,manual_review,
ECTX-000014,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,source_gap_or_not_sampled,Unknown,0.25,0,1,0,unknown_context,,0.3,manual_review,
ECTX-000015,b1c5dab7c7e14227b62fa4e78e478d2a,Repair BEQ HP135,source_gap_or_not_sampled,Unknown,0.25,0,1,0,unknown_context,,0.3,manual_review,
ECTX-000016,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,source_gap_or_not_sampled,Unknown,0.25,0,2,0,unknown_context,,0.3,manual_review,
ECTX-000017,f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,source_gap_or_not_sampled,,,0,0,0,unknown_context,,0.3,manual_review,
ECTX-000018,71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,source_gap_or_not_sampled,,,0,0,0,unknown_context,,0.3,manual_review,
ECTX-000019,6b408e7c185a4f70a8ed51e4fb0b3c2b,7195--Solar Shades - B3 PACT,source_gap_or_not_sampled,,,0,0,0,unknown_context,,0.3,manual_review,
ECTX-000020,9bca2be24fb64fbe833ab48ae2b41b2a,Atlanta Job Corps Center Caretaker and Security Services,source_gap_or_not_sampled,,,0,0,0,unknown_context,,0.3,manual_review,
ECTX-000021,3b8ae850899e4ab298f3c2bff29ef889,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,source_gap_or_not_sampled,,,0,0,0,unknown_context,,0.3,manual_review,
ECTX-000022,dedd02b3424a4149b2823ccee9a76082,Patient Ceiling Lift Slings Replacement,source_gap_or_not_sampled,,,0,0,0,unknown_context,,0.3,manual_review,
ECTX-000023,3986c6c299c04c119ed7d79cb2b5cef5,Request for Information: FDA IT Infrastructure Services,source_gap_or_not_sampled,,,0,0,0,unknown_context,,0.3,manual_review,
