eligibility_id,canonical_expression_id,canonical_expression,expression_family,domain_name,eligibility_status,eligibility_reason,eligibility_score,total_frequency,source_count,created_at
SELG-000001,CPX2-000002,Solicitation Amendment,Proposal and Submission,Submission and Proposal Management,eligible,procurement_signal:solicitation;amendment,0.71,58,8,2026-06-28 17:16:16
SELG-000002,CPX2-000001,National Cemetery Operations,Domain-Specific Operations,Domain-Specific Operations,eligible,procurement_signal:national cemetery,0.63,46,3,2026-06-28 17:16:16
SELG-000003,CPX2-000003,National Cemetery Administration,Domain-Specific Operations,Domain-Specific Operations,eligible,procurement_signal:national cemetery,0.63,44,6,2026-06-28 17:16:16
SELG-000004,CPX2-000010,Solicitation Number,Acquisition Metadata,Acquisition Strategy,eligible,procurement_signal:solicitation,0.63,30,4,2026-06-28 17:16:16
SELG-000005,CPX2-000004,Firm Fixed Price,Contract Type,Commercial and Pricing,eligible,procurement_signal:price;firm fixed price,0.71,25,4,2026-06-28 17:16:16
SELG-000006,CPX2-000006,Unit Price,Pricing and Payment,Commercial and Pricing,eligible,procurement_signal:price;unit price,0.71,24,5,2026-06-28 17:16:16
SELG-000007,CPX2-000007,Contracting Officer,Procurement Roles,Acquisition Strategy,eligible,procurement_signal:contract;contracting;officer,0.79,22,5,2026-06-28 17:16:16
SELG-000008,CPX2-000009,Performance Work Statement,Technical and Performance Requirements,Technical Requirements,eligible,procurement_signal:performance;statement;work,0.79,22,5,2026-06-28 17:16:16
SELG-000009,CPX2-000005,Solicitation Amendment or Modification,Proposal and Submission,Submission and Proposal Management,eligible,procurement_signal:solicitation;amendment,0.71,18,3,2026-06-28 17:16:16
SELG-000010,CPX2-000008,Evaluation Factors,Evaluation and Award,Evaluation and Source Selection,eligible,procurement_signal:evaluation,0.63,16,3,2026-06-28 17:16:16
SELG-000011,CPX2-000011,Table of Contents,Document Structure,Document Structure and Administrative Forms,eligible,procurement_signal:table of contents,0.63,16,3,2026-06-28 17:16:16
SELG-000012,CPX2-000012,Offerors Shall,Proposal and Submission,Submission and Proposal Management,ineligible,no_procurement_signal,0.2,14,2,2026-06-28 17:16:16
SELG-000013,CPX2-000013,Past Performance,Evaluation and Award,Evaluation and Source Selection,eligible,procurement_signal:performance;past performance,0.71,14,2,2026-06-28 17:16:16
SELG-000014,CPX2-000025,Request for Information,Acquisition Metadata,Acquisition Strategy,eligible,procurement_signal:request;request for information,0.71,14,4,2026-06-28 17:16:16
SELG-000015,CPX2-000014,Administered By If Other,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,12,2,2026-06-28 17:16:16
SELG-000016,CPX2-000015,Solicitation Amendment Acknowledgement,Proposal and Submission,Submission and Proposal Management,eligible,procurement_signal:solicitation;amendment,0.71,11,1,2026-06-28 17:16:16
SELG-000017,CPX2-000016,Administrative Support And Clerical,Residual Expression,Residual Unknown,review,multiword_uncertain,0.45,10,2,2026-06-28 17:16:16
SELG-000018,CPX2-000017,Footnote Rate 01000 Administrative,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,10,2,2026-06-28 17:16:16
SELG-000019,CPX2-000018,Proposal Volume,Proposal and Submission,Submission and Proposal Management,eligible,procurement_signal:proposal,0.63,10,3,2026-06-28 17:16:16
SELG-000020,CPX2-000019,Rate 01000 Administrative Support,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,10,2,2026-06-28 17:16:16
SELG-000021,CPX2-000020,Solicitation Metadata,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:solicitation,0.63,10,1,2026-06-28 17:16:16
SELG-000022,CPX2-000041,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition Strategy,eligible,procurement_signal:solicitation;combined synopsis,0.71,9,2,2026-06-28 17:16:16
SELG-000023,CPX2-000021,Small Business Set-Aside,Residual Expression,Residual Unknown,eligible,procurement_signal:small business;set-aside,0.71,9,1,2026-06-28 17:16:16
SELG-000024,CPX2-000022,Amendments Of Solicitations,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:solicitation;amendment,0.71,8,2,2026-06-28 17:16:16
SELG-000025,CPX2-000023,Payment,Pricing and Payment,Commercial and Pricing,ineligible,too_short,0.1,8,2,2026-06-28 17:16:16
SELG-000026,CPX2-000024,Place of Performance,Delivery and Logistics,Delivery and Logistics,eligible,procurement_signal:performance;place of performance,0.71,8,3,2026-06-28 17:16:16
SELG-000027,CPX2-000026,To Amendments Of Solicitations,General Procurement Expression,Acquisition Strategy,ineligible,low_value_fragment,0.1,8,2,2026-06-28 17:16:16
SELG-000028,CPX2-000027,1 Qty 1 Ton,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000029,CPX2-000028,Code Title Footnote Rate,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000030,CPX2-000029,Follow The Occupational Listing,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000031,CPX2-000030,Fringe Benefits Required Follow,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000032,CPX2-000031,Listing Occupation Code Title,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000033,CPX2-000032,Method of Solicitation,Acquisition Metadata,Acquisition Strategy,eligible,procurement_signal:solicitation;method of solicitation,0.71,6,2,2026-06-28 17:16:16
SELG-000034,CPX2-000033,Occupation Code Title Footnote,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000035,CPX2-000034,Occupational Listing Occupation Code,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000036,CPX2-000035,Qty 1 Ton Each,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
