graph_version,node_id,node_key,node_type,canonical_name,domain_name,confidence,graph_status,publication_status,in_degree,out_degree,total_degree,semantic_object_v3_id,semantic_object_id,created_at
KG-1.0,KGNODE2-000001,submission_instruction_solicitation_amendment_submission_and_proposal_management,Submission Instruction,Solicitation Amendment,Submission and Proposal Management,0.902,graph_ready,published_ready,9,0,9,SPO3-000001,SPO2-000001,2026-06-29 15:40:03
KG-1.0,KGNODE2-000002,domain_specific_requirement_national_cemetery_operations_domain_specific_operations,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,0.89,graph_ready,published_ready,1,2,3,SPO3-000002,SPO2-000002,2026-06-29 15:40:03
KG-1.0,KGNODE2-000003,contract_type_firm_fixed_price_commercial_and_pricing,Contract Type,Firm Fixed Price,Commercial and Pricing,0.84,graph_ready,published_ready,1,2,3,SPO3-000025,SPO2-000026,2026-06-29 15:40:03
KG-1.0,KGNODE2-000004,procurement_role_contracting_officer_acquisition_strategy,Procurement Role,Contracting Officer,Acquisition Strategy,0.802,graph_ready,published_ready,0,8,8,SPO3-000006,SPO2-000006,2026-06-29 15:40:03
KG-1.0,KGNODE2-000005,technical_requirement_performance_work_statement_technical_requirements,Technical Requirement,Performance Work Statement,Technical Requirements,0.811,graph_ready,published_ready,1,3,4,SPO3-000007,SPO2-000007,2026-06-29 15:40:03
KG-1.0,KGNODE2-000006,evaluation_method_award_basis_evaluation_and_source_selection,Evaluation Method,Award Basis,Evaluation and Source Selection,0.82,graph_ready,published_ready,6,2,8,SPO3-000022,SPO2-000022,2026-06-29 15:40:03
KG-1.0,KGNODE2-000007,military_installation_marine_corps_base_camp_lejeune_domain_specific_operations,Military Installation,Marine Corps Base Camp Lejeune,Domain-Specific Operations,0.92,graph_ready,published_ready,0,1,1,SPO3-000023,SPO2-000023,2026-06-29 15:40:03
KG-1.0,KGNODE2-000008,military_organization_united_states_army_domain_specific_operations,Military Organization,United States Army,Domain-Specific Operations,0.82,graph_ready,published_ready,0,0,0,SPO3-000024,SPO2-000025,2026-06-29 15:40:03
KG-1.0,KGNODE2-000009,military_organization_united_states_marine_corps_domain_specific_operations,Military Organization,United States Marine Corps,Domain-Specific Operations,0.86,graph_ready,published_ready,0,0,0,SPO3-000026,SPO2-000029,2026-06-29 15:40:03
KG-1.0,KGNODE2-000010,regulation_set_far_and_dosar_provisions_legal_compliance_and_labor,Regulation Set,FAR and DOSAR Provisions,"Legal, Compliance, and Labor",0.86,graph_ready,published_ready,0,0,0,SPO3-000028,SPO2-000031,2026-06-29 15:40:03
KG-1.0,KGNODE2-000011,federal_agency_food_and_drug_administration_acquisition_strategy,Federal Agency,Food and Drug Administration,Acquisition Strategy,0.92,graph_ready,published_ready,0,7,7,SPO3-000029,SPO2-000032,2026-06-29 15:40:03
KG-1.0,KGNODE2-000012,acquisition_metadata_solicitation_number_acquisition_strategy,Acquisition Metadata,Solicitation Number,Acquisition Strategy,0.777,graph_candidate,published_candidate,2,2,4,SPO3-000003,SPO2-000003,2026-06-29 15:40:03
KG-1.0,KGNODE2-000013,pricing_structure_unit_price_commercial_and_pricing,Pricing Structure,Unit Price,Commercial and Pricing,0.79,graph_candidate,published_candidate,3,0,3,SPO3-000005,SPO2-000005,2026-06-29 15:40:03
KG-1.0,KGNODE2-000014,evaluation_factor_evaluation_factors_evaluation_and_source_selection,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,0.74,graph_candidate,published_candidate,1,0,1,SPO3-000008,SPO2-000008,2026-06-29 15:40:03
KG-1.0,KGNODE2-000015,document_structure_object_table_of_contents_document_structure_and_administrative_forms,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,0.704,graph_candidate,published_candidate,0,0,0,SPO3-000009,SPO2-000009,2026-06-29 15:40:03
