semantic_review_id,semantic_object_id,source_type,source_id,source_text,reason,suggested_action,review_status,created_at
SORV-000001,SPO-000002,filtered_pattern,SP-000011,of solicitation,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000002,SPO-000003,filtered_pattern,SP-000013,accounting clerk,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000003,SPO-000004,filtered_pattern,SP-000014,customer service,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000004,SPO-000005,filtered_pattern,SP-000015,service representative,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000005,SPO-000006,filtered_pattern,SP-000016,customer service representative,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000006,SPO-000007,filtered_pattern,SP-000018,amendment of,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000007,SPO-000009,filtered_pattern,SP-000024,administered by,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000008,SPO-000010,filtered_pattern,SP-000026,interior design,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000009,SPO-000011,filtered_pattern,SP-000027,data entry,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000010,SPO-000012,filtered_pattern,SP-000037,entry operator,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000011,SPO-000013,filtered_pattern,SP-000038,general clerk,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000012,SPO-000014,filtered_pattern,SP-000039,data entry operator,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000013,SPO-000015,filtered_pattern,SP-000040,section 1,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000014,SPO-000016,filtered_pattern,SP-000041,the offeror,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000015,SPO-000017,filtered_pattern,SP-000045,please provide,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000016,SPO-000018,filtered_pattern,SP-000049,small business,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000017,SPO-000021,filtered_pattern,SP-000057,additional information,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000018,SPO-000022,filtered_pattern,SP-000059,clerk ii,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
SORV-000019,SPO-000023,filtered_pattern,SP-000060,clerk iii,unmatched_or_low_confidence_interpretation,manual_semantic_review,pending,2026-06-27 22:40:30
