expression_id,canonical_statement_id,expression_family,expression_type,expression_intent,matched_pattern,expression_confidence,is_recurring_expression,is_boilerplate_candidate,source_count,duplicate_count,cluster_size,opportunity_title_sample,expression_text,created_at
PEL-000001,CGS-000001,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Selective Service System Website Modernization,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 - Solicitation Administration & Proposal Submission Q1.1 - Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",2026-06-26 09:36:38
PEL-000002,CGS-000002,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,Please confirm whether the offeror is expected to submit four bound volumes or five separate volumes.,2026-06-26 09:36:38
PEL-000003,CGS-000003,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,"The reference to ""four (4) separately electronically submitted bound Volumes"" is a typographical error.",2026-06-26 09:36:38
PEL-000004,CGS-000004,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,Offerors shall submit five (5) proposal volumes as identified in the solicitation:,2026-06-26 09:36:38
PEL-000005,CGS-000005,Proposal,Proposal Volume Structure,Submission Structure,volume i,0.9,yes,no,4,3,4,Selective Service System Website Modernization,• Volume I - Administrative Proposal • Volume II - Technical Proposal • Volume III - Past Performance • Volume IV - Price Proposal • Volume V - Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,2026-06-26 09:36:38
PEL-000006,CGS-000006,Evaluation,Evaluation Navigation,Document Navigation,evaluation factors,0.9,yes,no,2,1,2,Selective Service System Website Modernization,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as ""Factor 5 - Contract Documentation,"" but Section 52.212-2 lists only four evaluation factors.",2026-06-26 09:36:38
PEL-000007,CGS-000007,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Selective Service System Website Modernization,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,2026-06-26 09:36:38
PEL-000008,CGS-000008,Proposal,Proposal Volume Structure,Submission Structure,contract documentation,0.9,yes,no,2,1,2,Selective Service System Website Modernization,Volume V - Contract Documentation corresponds to Evaluation Factor 5.,2026-06-26 09:36:38
PEL-000009,CGS-000009,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,Offerors shall submit Volume V in accordance with the solicitation instructions.,2026-06-26 09:36:38
PEL-000010,CGS-000010,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Selective Service System Website Modernization,Evaluation of Volume V will be conducted in accordance with the evalua,2026-06-26 09:36:38
PEL-000011,CGS-000011,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,4,3,4,Selective Service System Website Modernization,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,2026-06-26 09:36:38
PEL-000012,CGS-000012,Administrative,Solicitation Amendment,Document Administration,amendment of solicitation,0.9,no,yes,1,0,1,Selective Service System Website Modernization,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 1.,2026-06-26 09:36:38
PEL-000013,CGS-000013,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,"ADMINISTERED BY CODE SSS National Headquarters (NHQ) Selective Service System, 1501 Wilson Blvd, Suite 700 Same As Issuing Office Arlington, VA, 22209, US (Number, street, county, State and ZIP Code) (X) 8.",2026-06-26 09:36:38
PEL-000014,CGS-000014,Administrative,Solicitation Amendment,Document Administration,amendment of solicitation,0.9,no,yes,1,0,1,Selective Service System Website Modernization,AMENDMENT OF SOLICITATION NUMBER 90MC0026R0004 181 (SEE ITEM 11) 9B.,2026-06-26 09:36:38
PEL-000015,CGS-000015,Administrative,Solicitation Amendment,Document Administration,the above numbered solicitation is amended,0.9,no,yes,1,0,1,Selective Service System Website Modernization,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS □ (8) � The above numbered solicitation is amended as set forth in Item 14.,2026-06-26 09:36:38
PEL-000016,CGS-000016,Proposal,Amendment Acknowledgement,Submission Compliance,acknowledge receipt of this amendment,0.9,yes,yes,11,10,11,Selective Service System Website Modernization,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-26 09:36:38
PEL-000017,CGS-000017,Administrative,Short Administrative Expression,Review,,0.45,yes,no,5,4,5,Selective Service System Website Modernization,"(a) By completing items 8 and 15, and returning ___ copies of the amendment;",2026-06-26 09:36:38
PEL-000018,CGS-000018,Proposal,Amendment Acknowledgement,Submission Compliance,acknowledging receipt of this amendment,0.9,yes,yes,11,10,11,Selective Service System Website Modernization,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,2026-06-26 09:36:38
PEL-000019,CGS-000019,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,yes,10,9,10,Selective Service System Website Modernization,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.,2026-06-26 09:36:38
PEL-000020,CGS-000020,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,"We are currently in the process of preparing our proposal for the Selective Service System Website Modernization Requirement, Solicitation Number 90MC0026R0004.",2026-06-26 09:36:38
PEL-000021,CGS-000021,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,"As part of our proposal, we have listed you as a reference on our performance for this type of service with your agency under the previous/current contract listed below.",2026-06-26 09:36:38
PEL-000022,CGS-000022,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,Questionnaire must be submitted via email directly to the Contracting Officer and Contract Specialist from a corporate email account.,2026-06-26 09:36:38
PEL-000023,CGS-000023,Proposal,Proposal Volume Structure,Submission Structure,past performance,0.9,yes,no,2,1,2,Selective Service System Website Modernization,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",2026-06-26 09:36:38
PEL-000024,CGS-000024,Administrative,Solicitation Amendment,Document Administration,amendment of solicitation,0.9,yes,yes,3,2,3,Selective Service System Website Modernization,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.,2026-06-26 09:36:38
PEL-000025,CGS-000025,Administrative,Short Administrative Expression,Review,,0.45,yes,no,3,2,3,Selective Service System Website Modernization,ADMINISTERED BY (If other than Item 6) CODE 8.,2026-06-26 09:36:38
PEL-000026,CGS-000026,Administrative,Solicitation Amendment,Document Administration,amendment of solicitation,0.9,yes,yes,3,2,3,Selective Service System Website Modernization,AMENDMENT OF SOLICITATION NUMBER 9B.,2026-06-26 09:36:38
PEL-000027,CGS-000027,Administrative,Solicitation Amendment,Document Administration,the above numbered solicitation is amended,0.9,yes,yes,6,5,6,Selective Service System Website Modernization,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.,2026-06-26 09:36:38
PEL-000028,CGS-000028,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Selective Service System Website Modernization,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electronic",2026-06-26 09:36:38
PEL-000029,CGS-000029,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,JSCG-P Cristobal Colon Base Life Support,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees.",2026-06-26 09:36:38
PEL-000030,CGS-000030,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,The United States (U.S.) Government shall not exercise any supervision or control over the Contractor's employees performing the tasks herein.,2026-06-26 09:36:38
PEL-000031,CGS-000031,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,"Such contract employees shall be accountable solely to the Contractor who, in turn shall be responsible to the U.S.",2026-06-26 09:36:38
PEL-000032,CGS-000032,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,The Contractor shall always maintain an adequate workforce for performance of all tasks defined within this Performance Work Statement (PWS).,2026-06-26 09:36:38
