alignment_id,source_type,source_id,pattern_text,frequency,quality_score,adjusted_confidence,best_registry_id,best_registry_object,best_registry_type,registry_domain,registry_similarity,token_overlap,best_domain_match,domain_similarity,alignment_decision,alignment_reason,created_at
SPRA-000001,filtered_pattern,SP-000007,national cemetery,17,13,0.73,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.4111,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000002,filtered_pattern,SP-000011,of solicitation,16,13,0.73,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5667,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000003,filtered_pattern,SP-000013,accounting clerk,15,10,0.67,OPR-000011,Document Forms and Tables,expression_family,Document Structure and Administrative Forms,0.2732,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000004,filtered_pattern,SP-000014,customer service,15,10,0.67,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.24,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000005,filtered_pattern,SP-000015,service representative,15,10,0.67,OPR-000003,Workforce Management,expression_family,Performance and Operations,0.2667,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000006,filtered_pattern,SP-000016,customer service representative,15,11,0.69,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.28,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000007,filtered_pattern,SP-000018,amendment of,13,13,0.68,OPR-000022,Amendment Handling / Offer Amendment Change Procedure,expression_subfamily,Submission and Proposal Management,0.3167,0.1667,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000008,filtered_pattern,SP-000019,amendment of solicitation,13,17,0.74,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4402,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000009,filtered_pattern,SP-000024,administered by,11,13,0.65,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3316,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000010,filtered_pattern,SP-000026,interior design,11,10,0.61,OPR-000011,Document Forms and Tables,expression_family,Document Structure and Administrative Forms,0.28,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000011,filtered_pattern,SP-000027,data entry,11,10,0.61,OPR-000001,Residual Discovery,expression_family,Submission and Proposal Management,0.3,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000012,filtered_pattern,SP-000037,entry operator,10,10,0.59,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.5091,0.0,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
