graph_readiness_id,semantic_object_id,canonical_name,semantic_object_type,domain_name,graph_status,required_action,created_at
SGR-000001,SPO2-000001,Solicitation Amendment,Submission Instruction,Submission and Proposal Management,graph_ready,none,2026-06-28 22:06:51
SGR-000002,SPO2-000002,National Cemetery Operations,Domain Specific Requirement,Domain-Specific Operations,graph_ready,none,2026-06-28 22:06:51
SGR-000003,SPO2-000003,Solicitation Number,Acquisition Metadata,Acquisition Strategy,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000004,SPO2-000004,Firm Fixed Price,Contract Type,Commercial and Pricing,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000005,SPO2-000005,Unit Price,Pricing Structure,Commercial and Pricing,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000006,SPO2-000006,Contracting Officer,Procurement Role,Acquisition Strategy,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000007,SPO2-000007,Performance Work Statement,Technical Requirement,Technical Requirements,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000008,SPO2-000008,Evaluation Factors,Evaluation Factor,Evaluation and Source Selection,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000009,SPO2-000009,Table of Contents,Document Structure Object,Document Structure and Administrative Forms,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000010,SPO2-000010,Past Performance,Supplier Qualification,Supplier Eligibility and Qualifications,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000011,SPO2-000011,Request for Information,Acquisition Metadata,Acquisition Strategy,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000012,SPO2-000012,Administrative Support and Clerical,Administrative Service Labor Category,Performance and Operations,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000013,SPO2-000013,Proposal Volume,Proposal Structure,Submission and Proposal Management,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000014,SPO2-000014,Solicitation Metadata,Uninterpreted Expression,,not_graph_ready,review_or_more_evidence,2026-06-28 22:06:51
SGR-000015,SPO2-000015,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition Strategy,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000016,SPO2-000016,Small Business Set-Aside,Supplier Qualification,Supplier Eligibility and Qualifications,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000017,SPO2-000017,Amendments Of Solicitations,Uninterpreted Expression,,not_graph_ready,review_or_more_evidence,2026-06-28 22:06:51
SGR-000018,SPO2-000018,Place of Performance,Delivery Requirement,Delivery and Logistics,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000019,SPO2-000019,Method of Solicitation,Acquisition Metadata,Acquisition Strategy,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000020,SPO2-000020,Request for Proposal,Acquisition Metadata,Acquisition Strategy,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000021,SPO2-000021,Statement of Work,Technical Requirement,Technical Requirements,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000022,SPO2-000022,Award Will Be Made,Award Phrase,Evaluation and Source Selection,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000023,SPO2-000023,Marine Corps Base Camp Lejeune,Military Installation,Domain-Specific Operations,graph_ready,none,2026-06-28 22:06:51
SGR-000024,SPO2-000024,Marine Corps Base Camp Lejeune,Military Installation,Domain-Specific Operations,graph_ready,none,2026-06-28 22:06:51
SGR-000025,SPO2-000025,United States Army,Military Organization,Domain-Specific Operations,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000026,SPO2-000026,Award a Firm Fixed Price Contract,Contract Type Fragment,Commercial and Pricing,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000027,SPO2-000027,Award Will Be Made,Award Phrase,Evaluation and Source Selection,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000028,SPO2-000028,United States Army,Military Organization,Domain-Specific Operations,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000029,SPO2-000029,United States Marine Corps,Military Organization,Domain-Specific Operations,graph_ready,none,2026-06-28 22:06:51
SGR-000030,SPO2-000030,Amendment Copy Requirement,Procurement Document Artifact,Document Structure and Administrative Forms,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000031,SPO2-000031,FAR and DOSAR Provisions,Regulation Set,"Legal, Compliance, and Labor",graph_ready,none,2026-06-28 22:06:51
SGR-000032,SPO2-000032,Food and Drug Administration,Federal Agency,Acquisition Strategy,graph_ready,none,2026-06-28 22:06:51
SGR-000033,SPO2-000033,Proposal Default Index,Proposal Document Artifact,Document Structure and Administrative Forms,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000034,SPO2-000034,United States Marine Corps,Military Organization,Domain-Specific Operations,graph_ready,none,2026-06-28 22:06:51
SGR-000035,SPO2-000035,Request for Quotation,Acquisition Metadata,Acquisition Strategy,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
SGR-000036,SPO2-000036,Payment and Invoice,Pricing Structure,Commercial and Pricing,graph_candidate,review_or_more_evidence,2026-06-28 22:06:51
