interpretation_log_id,semantic_object_id,source_type,source_id,source_text,interpreted_object_type,canonical_name,domain_name,intent,confidence,matched_patterns,official_registry_id,alignment_decision,created_at
SIL-000001,SPO-000001,filtered_pattern,SP-000007,national cemetery,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000006,weak_alignment_review,2026-06-27 22:40:30
SIL-000002,SPO-000002,filtered_pattern,SP-000011,of solicitation,Uninterpreted Pattern,of solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000003,SPO-000003,filtered_pattern,SP-000013,accounting clerk,Uninterpreted Pattern,accounting clerk,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000004,SPO-000004,filtered_pattern,SP-000014,customer service,Uninterpreted Pattern,customer service,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000005,SPO-000005,filtered_pattern,SP-000015,service representative,Uninterpreted Pattern,service representative,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000006,SPO-000006,filtered_pattern,SP-000016,customer service representative,Uninterpreted Pattern,customer service representative,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000007,SPO-000007,filtered_pattern,SP-000018,amendment of,Uninterpreted Pattern,amendment of,,Needs Semantic Interpretation Review,0.3,,OPR-000022,new_concept_candidate,2026-06-27 22:40:30
SIL-000008,SPO-000008,filtered_pattern,SP-000019,amendment of solicitation,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,amendment of solicitation,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000009,SPO-000009,filtered_pattern,SP-000024,administered by,Uninterpreted Pattern,administered by,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000010,SPO-000010,filtered_pattern,SP-000026,interior design,Uninterpreted Pattern,interior design,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000011,SPO-000011,filtered_pattern,SP-000027,data entry,Uninterpreted Pattern,data entry,,Needs Semantic Interpretation Review,0.3,,OPR-000001,new_concept_candidate,2026-06-27 22:40:30
SIL-000012,SPO-000012,filtered_pattern,SP-000037,entry operator,Uninterpreted Pattern,entry operator,,Needs Semantic Interpretation Review,0.3,,OPR-000006,weak_alignment_review,2026-06-27 22:40:30
SIL-000013,SPO-000013,filtered_pattern,SP-000038,general clerk,Uninterpreted Pattern,general clerk,,Needs Semantic Interpretation Review,0.3,,OPR-000001,new_concept_candidate,2026-06-27 22:40:30
SIL-000014,SPO-000014,filtered_pattern,SP-000039,data entry operator,Uninterpreted Pattern,data entry operator,,Needs Semantic Interpretation Review,0.3,,OPR-000006,weak_alignment_review,2026-06-27 22:40:30
SIL-000015,SPO-000015,filtered_pattern,SP-000040,section 1,Uninterpreted Pattern,section 1,,Needs Semantic Interpretation Review,0.3,,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000016,SPO-000016,filtered_pattern,SP-000041,the offeror,Uninterpreted Pattern,the offeror,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000017,SPO-000017,filtered_pattern,SP-000045,please provide,Uninterpreted Pattern,please provide,,Needs Semantic Interpretation Review,0.3,,OPR-000001,new_concept_candidate,2026-06-27 22:40:30
SIL-000018,SPO-000001,filtered_pattern,SP-000047,cemetery administration,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.78,cemetery,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000019,SPO-000001,filtered_pattern,SP-000048,national cemetery administration,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000020,SPO-000018,filtered_pattern,SP-000049,small business,Uninterpreted Pattern,small business,,Needs Semantic Interpretation Review,0.3,,OPR-000004,new_concept_candidate,2026-06-27 22:40:30
SIL-000021,SPO-000019,filtered_pattern,SP-000051,solicitation number,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,solicitation number,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000022,SPO-000020,filtered_pattern,SP-000055,fixed price,Contract Type,Firm Fixed Price,Commercial and Pricing,Contract Type,0.78,\bfixed price\b,OPR-000007,new_concept_candidate,2026-06-27 22:40:30
SIL-000023,SPO-000021,filtered_pattern,SP-000057,additional information,Uninterpreted Pattern,additional information,,Needs Semantic Interpretation Review,0.3,,OPR-000010,new_concept_candidate,2026-06-27 22:40:30
SIL-000024,SPO-000022,filtered_pattern,SP-000059,clerk ii,Uninterpreted Pattern,clerk ii,,Needs Semantic Interpretation Review,0.3,,OPR-000007,new_concept_candidate,2026-06-27 22:40:30
SIL-000025,SPO-000023,filtered_pattern,SP-000060,clerk iii,Uninterpreted Pattern,clerk iii,,Needs Semantic Interpretation Review,0.3,,OPR-000007,new_concept_candidate,2026-06-27 22:40:30
SIL-000026,SPO-000024,filtered_pattern,SP-000061,offerors shall,Uninterpreted Pattern,offerors shall,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000027,SPO-000025,filtered_pattern,SP-000062,past performance,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,Evaluation Factor,0.78,past performance,OPR-000008,specialization_candidate,2026-06-27 22:40:30
SIL-000028,SPO-000019,filtered_pattern,SP-000063,of solicitation number,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,solicitation number,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000029,SPO-000008,filtered_pattern,SP-000064,amendment of solicitation number,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.86,amendment of solicitation;amendment of solicitation number,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000030,SPO-000020,filtered_pattern,SP-000071,firm fixed price,Contract Type,Firm Fixed Price,Commercial and Pricing,Contract Type,0.94,\bfirm fixed price\b;\bfirm fixed\b;\bfixed price\b,OPR-000012,new_concept_candidate,2026-06-27 22:40:30
SIL-000031,SPO-000026,filtered_pattern,SP-000073,unit price,Pricing Structure,Unit Price,Commercial and Pricing,Pricing,0.78,unit price,OPR-000004,new_concept_candidate,2026-06-27 22:40:30
SIL-000032,SPO-000025,filtered_pattern,SP-000081,evaluation factors,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,Evaluation Factor,0.78,evaluation factors,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000033,SPO-000027,filtered_pattern,SP-000082,quote for,Uninterpreted Pattern,quote for,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000034,SPO-000028,filtered_pattern,SP-000083,solicitation modification,Uninterpreted Pattern,solicitation modification,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000035,SPO-000029,filtered_pattern,SP-000085,of solicitation modification,Uninterpreted Pattern,of solicitation modification,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000036,SPO-000030,filtered_pattern,SP-000086,solicitation modification of,Uninterpreted Pattern,solicitation modification of,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000037,SPO-000008,filtered_pattern,SP-000088,amendment of solicitation modification,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,amendment of solicitation,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000038,SPO-000031,filtered_pattern,SP-000089,of solicitation modification of,Uninterpreted Pattern,of solicitation modification of,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000039,SPO-000032,filtered_pattern,SP-000090,solicitation modification of contract,Uninterpreted Pattern,solicitation modification of contract,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
