plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_pattern,confidence,classification_status,source_statement,created_at
PLUC-000001,GSTMT-000001,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-001,Proposal,Proposal Structure,Proposal Structure,Proposal Intelligence,proposal volume,0.86,classified,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",2026-06-24 22:37:18
PLUC-000002,GSTMT-000002,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-001,Proposal,Proposal Structure,Proposal Structure,Proposal Intelligence,proposal volume,0.86,classified,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",2026-06-24 22:37:18
PLUC-000003,GSTMT-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-001,Proposal,Proposal Structure,Proposal Structure,Proposal Intelligence,proposal volume,0.86,classified,Offerors shall submit five (5) proposal volumes as identified in the solicitation:,2026-06-24 22:37:18
PLUC-000004,GSTMT-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,past performance,0.86,classified,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,2026-06-24 22:37:18
PLUC-000005,GSTMT-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,past performance,0.86,classified,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,2026-06-24 22:37:18
PLUC-000006,GSTMT-000008,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,past performance,0.86,classified,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,2026-06-24 22:37:18
PLUC-000007,GSTMT-000009,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,past performance,0.86,classified,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,2026-06-24 22:37:18
PLUC-000008,GSTMT-000010,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-002,Evaluation,Evaluation Navigation,Evaluation Navigation,Document Navigation,evaluation factors,0.86,classified,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors.",2026-06-24 22:37:18
PLUC-000009,GSTMT-000011,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-002,Evaluation,Evaluation Navigation,Evaluation Navigation,Document Navigation,evaluation factors,0.86,classified,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors.",2026-06-24 22:37:18
PLUC-000010,GSTMT-000012,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,2026-06-24 22:37:18
PLUC-000011,GSTMT-000013,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,2026-06-24 22:37:18
PLUC-000012,GSTMT-000014,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,evaluation factor,0.86,classified,Volume V – Contract Documentation corresponds to Evaluation Factor 5.,2026-06-24 22:37:18
PLUC-000013,GSTMT-000015,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,evaluation factor,0.86,classified,Volume V – Contract Documentation corresponds to Evaluation Factor 5.,2026-06-24 22:37:18
PLUC-000014,GSTMT-000016,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,shall submit,0.86,classified,Offerors shall submit Volume V in accordance with the solicitation instructions.,2026-06-24 22:37:18
PLUC-000015,GSTMT-000018,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,2026-06-24 22:37:18
PLUC-000016,GSTMT-000019,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,2026-06-24 22:37:18
