rejection_id,source_type,source_id,pattern_text,rejection_reason,frequency,quality_score,created_at
SPNR-000001,semantic_pattern,SP-000001,the government,generic_stop_pattern,39,10,2026-06-27 17:34:06
SPNR-000002,semantic_pattern,SP-000002,the contractor,generic_stop_pattern,31,10,2026-06-27 17:34:06
SPNR-000003,semantic_pattern,SP-000003,shall be,generic_stop_pattern,28,10,2026-06-27 17:34:06
SPNR-000004,semantic_pattern,SP-000004,the following,generic_stop_pattern,25,10,2026-06-27 17:34:06
SPNR-000005,semantic_pattern,SP-000005,with the,generic_stop_pattern,18,10,2026-06-27 17:34:06
SPNR-000006,semantic_pattern,SP-000006,request for,weak_bigram_without_procurement_signal,17,10,2026-06-27 17:34:06
SPNR-000007,semantic_pattern,SP-000008,in accordance,generic_stop_pattern,16,13,2026-06-27 17:34:06
SPNR-000008,semantic_pattern,SP-000009,accordance with,generic_stop_pattern,16,13,2026-06-27 17:34:06
SPNR-000009,semantic_pattern,SP-000010,in accordance with,generic_stop_pattern,16,14,2026-06-27 17:34:06
SPNR-000010,semantic_pattern,SP-000012,department of,generic_stop_pattern,16,10,2026-06-27 17:34:06
SPNR-000011,semantic_pattern,SP-000017,the solicitation,generic_stop_pattern,14,13,2026-06-27 17:34:06
SPNR-000012,semantic_pattern,SP-000020,set forth,generic_stop_pattern,12,10,2026-06-27 17:34:06
SPNR-000013,semantic_pattern,SP-000021,forth in,generic_stop_pattern,12,10,2026-06-27 17:34:06
SPNR-000014,semantic_pattern,SP-000022,set forth in,all_weak_words,12,11,2026-06-27 17:34:06
SPNR-000015,semantic_pattern,SP-000023,or services,generic_stop_pattern,12,10,2026-06-27 17:34:06
SPNR-000016,semantic_pattern,SP-000025,provide the,generic_stop_pattern,11,10,2026-06-27 17:34:06
SPNR-000017,semantic_pattern,SP-000028,to submit,generic_stop_pattern,10,10,2026-06-27 17:34:06
SPNR-000018,semantic_pattern,SP-000029,accordance with the,generic_stop_pattern,10,14,2026-06-27 17:34:06
SPNR-000019,semantic_pattern,SP-000030,in accordance with the,generic_stop_pattern,10,15,2026-06-27 17:34:06
SPNR-000020,semantic_pattern,SP-000031,of veterans,generic_stop_pattern,10,10,2026-06-27 17:34:06
SPNR-000021,semantic_pattern,SP-000032,veterans affairs,generic_stop_pattern,10,10,2026-06-27 17:34:06
SPNR-000022,semantic_pattern,SP-000033,department of veterans,generic_stop_pattern,10,11,2026-06-27 17:34:06
SPNR-000023,semantic_pattern,SP-000034,of veterans affairs,generic_stop_pattern,10,11,2026-06-27 17:34:06
SPNR-000024,semantic_pattern,SP-000035,department of veterans affairs,generic_stop_pattern,10,12,2026-06-27 17:34:06
SPNR-000025,semantic_pattern,SP-000036,this notice,generic_stop_pattern,10,10,2026-06-27 17:34:06
SPNR-000026,semantic_pattern,SP-000042,as set forth,all_weak_words,9,10,2026-06-27 17:34:06
SPNR-000027,semantic_pattern,SP-000043,as set forth in,all_weak_words,9,11,2026-06-27 17:34:06
SPNR-000028,semantic_pattern,SP-000044,contractor shall,all_weak_words,9,17,2026-06-27 17:34:06
SPNR-000029,semantic_pattern,SP-000046,included in,generic_stop_pattern,9,9,2026-06-27 17:34:06
SPNR-000030,semantic_pattern,SP-000050,of contract,generic_stop_pattern,8,8,2026-06-27 17:34:06
SPNR-000031,semantic_pattern,SP-000052,performance of,weak_bigram_without_procurement_signal,8,8,2026-06-27 17:34:06
SPNR-000032,semantic_pattern,SP-000053,the contractor shall,all_weak_words,8,17,2026-06-27 17:34:06
SPNR-000033,semantic_pattern,SP-000054,submit a,weak_bigram_without_procurement_signal,8,8,2026-06-27 17:34:06
SPNR-000034,semantic_pattern,SP-000056,a contract,weak_bigram_without_procurement_signal,8,8,2026-06-27 17:34:06
SPNR-000035,semantic_pattern,SP-000058,follow the,weak_bigram_without_procurement_signal,8,8,2026-06-27 17:34:06
SPNR-000036,semantic_pattern,SP-000065,the above,weak_bigram_without_procurement_signal,7,7,2026-06-27 17:34:06
SPNR-000037,semantic_pattern,SP-000066,for this,all_weak_words,7,7,2026-06-27 17:34:06
SPNR-000038,semantic_pattern,SP-000067,will not,weak_bigram_without_procurement_signal,7,7,2026-06-27 17:34:06
SPNR-000039,semantic_pattern,SP-000068,the contract,weak_bigram_without_procurement_signal,7,7,2026-06-27 17:34:06
SPNR-000040,semantic_pattern,SP-000069,shall not,weak_bigram_without_procurement_signal,7,7,2026-06-27 17:34:06
SPNR-000041,semantic_pattern,SP-000070,firm fixed,low_procurement_signal_score,7,7,2026-06-27 17:34:06
SPNR-000042,semantic_pattern,SP-000072,to the government,all_weak_words,7,8,2026-06-27 17:34:06
SPNR-000043,semantic_pattern,SP-000074,does not,low_procurement_signal_score,7,7,2026-06-27 17:34:06
SPNR-000044,semantic_pattern,SP-000075,government to,all_weak_words,7,7,2026-06-27 17:34:06
SPNR-000045,semantic_pattern,SP-000076,the government to,all_weak_words,7,8,2026-06-27 17:34:06
SPNR-000046,semantic_pattern,SP-000077,requirements 01,low_procurement_signal_score,7,7,2026-06-27 17:34:06
SPNR-000047,semantic_pattern,SP-000078,camp lejeune,low_procurement_signal_score,7,7,2026-06-27 17:34:06
SPNR-000048,semantic_pattern,SP-000079,volume v,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000049,semantic_pattern,SP-000080,provided in,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000050,semantic_pattern,SP-000084,modification of,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000051,semantic_pattern,SP-000087,modification of contract,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000052,semantic_pattern,SP-000091,letter or,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000053,semantic_pattern,SP-000093,if other,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000054,semantic_pattern,SP-000094,other than,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000055,semantic_pattern,SP-000095,than item,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000056,semantic_pattern,SP-000097,by if other,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000057,semantic_pattern,SP-000098,if other than,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000058,semantic_pattern,SP-000099,other than item,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000059,semantic_pattern,SP-000103,this is a,all_weak_words,6,7,2026-06-27 17:34:06
SPNR-000060,semantic_pattern,SP-000104,united states,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000061,semantic_pattern,SP-000105,work statement,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000062,semantic_pattern,SP-000106,this requirement,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000063,semantic_pattern,SP-000107,required to,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000064,semantic_pattern,SP-000108,a firm fixed,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000065,semantic_pattern,SP-000110,and other,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000066,semantic_pattern,SP-000112,ton each,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000067,semantic_pattern,SP-000113,qty 1 ton,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000068,semantic_pattern,SP-000114,1 ton each,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000069,semantic_pattern,SP-000117,the work,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000070,semantic_pattern,SP-000119,included in this,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000071,semantic_pattern,SP-000120,by the government,all_weak_words,6,7,2026-06-27 17:34:06
SPNR-000072,semantic_pattern,SP-000121,north carolina,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000073,semantic_pattern,SP-000124,table of,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000074,semantic_pattern,SP-000125,of contents,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000075,semantic_pattern,SP-000126,representations and,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000076,semantic_pattern,SP-000128,counties of,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000077,semantic_pattern,SP-000129,fringe benefits,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000078,semantic_pattern,SP-000130,benefits required,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000079,semantic_pattern,SP-000131,required follow,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000080,semantic_pattern,SP-000132,the occupational,weak_bigram_without_procurement_signal,6,6,2026-06-27 17:34:06
SPNR-000081,semantic_pattern,SP-000133,occupational listing,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000082,semantic_pattern,SP-000134,listing occupation,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000083,semantic_pattern,SP-000135,occupation code,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000084,semantic_pattern,SP-000136,code title,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000085,semantic_pattern,SP-000137,title footnote,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000086,semantic_pattern,SP-000138,footnote rate,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000087,semantic_pattern,SP-000139,rate 01000,low_procurement_signal_score,6,6,2026-06-27 17:34:06
SPNR-000088,semantic_pattern,SP-000140,fringe benefits required,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000089,semantic_pattern,SP-000141,benefits required follow,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000090,semantic_pattern,SP-000142,required follow the,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000091,semantic_pattern,SP-000143,follow the occupational,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000092,semantic_pattern,SP-000144,the occupational listing,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000093,semantic_pattern,SP-000145,occupational listing occupation,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000094,semantic_pattern,SP-000146,listing occupation code,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000095,semantic_pattern,SP-000147,occupation code title,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000096,semantic_pattern,SP-000148,code title footnote,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000097,semantic_pattern,SP-000149,title footnote rate,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000098,semantic_pattern,SP-000150,footnote rate 01000,low_procurement_signal_score,6,7,2026-06-27 17:34:06
SPNR-000099,semantic_pattern,SP-000161,please confirm,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000100,semantic_pattern,SP-000162,invitation for,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000101,semantic_pattern,SP-000166,or electronic,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000102,semantic_pattern,SP-000167,letter or electronic,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000103,semantic_pattern,SP-000168,be submitted,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000104,semantic_pattern,SP-000169,of pages,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000105,semantic_pattern,SP-000170,page of pages,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000106,semantic_pattern,SP-000171,than item 6,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000107,semantic_pattern,SP-000172,item 6 code,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000108,semantic_pattern,SP-000173,other than item 6,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000109,semantic_pattern,SP-000174,than item 6 code,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000110,semantic_pattern,SP-000175,performance work,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000111,semantic_pattern,SP-000177,unless otherwise,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000112,semantic_pattern,SP-000178,within the,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000113,semantic_pattern,SP-000179,management and,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000114,semantic_pattern,SP-000180,to submit a,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000115,semantic_pattern,SP-000182,intends to,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000116,semantic_pattern,SP-000184,schedule of,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000117,semantic_pattern,SP-000185,quantity unit,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000118,semantic_pattern,SP-000187,government will,all_weak_words,5,5,2026-06-27 17:34:06
SPNR-000119,semantic_pattern,SP-000188,the government will,all_weak_words,5,6,2026-06-27 17:34:06
SPNR-000120,semantic_pattern,SP-000189,be considered,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000121,semantic_pattern,SP-000190,submission of,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000122,semantic_pattern,SP-000191,general information,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000123,semantic_pattern,SP-000192,a request,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000124,semantic_pattern,SP-000193,a request for,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000125,semantic_pattern,SP-000194,a requirement,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000126,semantic_pattern,SP-000195,requirement for,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000127,semantic_pattern,SP-000196,a requirement for,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000128,semantic_pattern,SP-000197,combined synopsis,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000129,semantic_pattern,SP-000199,can provide,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000130,semantic_pattern,SP-000200,shall provide,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000131,semantic_pattern,SP-000201,provide a,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000132,semantic_pattern,SP-000202,in this notice,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000133,semantic_pattern,SP-000203,to provide,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000134,semantic_pattern,SP-000204,services and,all_weak_words,5,5,2026-06-27 17:34:06
SPNR-000135,semantic_pattern,SP-000205,government requires,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000136,semantic_pattern,SP-000206,the government requires,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000137,semantic_pattern,SP-000207,comply with,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000138,semantic_pattern,SP-000208,listed in,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000139,semantic_pattern,SP-000209,listed in the,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000140,semantic_pattern,SP-000210,the requirement,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000141,semantic_pattern,SP-000211,have the,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000142,semantic_pattern,SP-000212,the performance,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000143,semantic_pattern,SP-000213,set aside,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000144,semantic_pattern,SP-000214,contract clauses,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000145,semantic_pattern,SP-000215,safety requirements,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000146,semantic_pattern,SP-000216,this document,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000147,semantic_pattern,SP-000217,bi folding,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000148,semantic_pattern,SP-000218,folding gates,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000149,semantic_pattern,SP-000219,bi folding gates,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000150,semantic_pattern,SP-000220,procedures 01,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000151,semantic_pattern,SP-000224,support and,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000152,semantic_pattern,SP-000225,and clerical,weak_bigram_without_procurement_signal,5,5,2026-06-27 17:34:06
SPNR-000153,semantic_pattern,SP-000226,clerical occupations,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000154,semantic_pattern,SP-000227,occupations 01011,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000155,semantic_pattern,SP-000228,01011 accounting,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000156,semantic_pattern,SP-000229,01012 accounting,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000157,semantic_pattern,SP-000230,01013 accounting,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000158,semantic_pattern,SP-000233,01035 court,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000159,semantic_pattern,SP-000234,court reporter,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000160,semantic_pattern,SP-000235,01041 customer,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000161,semantic_pattern,SP-000236,representative i,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000162,semantic_pattern,SP-000237,01042 customer,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000163,semantic_pattern,SP-000238,representative ii,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000164,semantic_pattern,SP-000239,01043 customer,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000165,semantic_pattern,SP-000240,representative iii,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000166,semantic_pattern,SP-000241,01051 data,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000167,semantic_pattern,SP-000242,operator i,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000168,semantic_pattern,SP-000243,01052 data,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000169,semantic_pattern,SP-000244,operator ii,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000170,semantic_pattern,SP-000245,01060 dispatcher,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000171,semantic_pattern,SP-000246,dispatcher motor,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000172,semantic_pattern,SP-000247,motor vehicle,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000173,semantic_pattern,SP-000248,01070 document,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000174,semantic_pattern,SP-000249,document preparation,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000175,semantic_pattern,SP-000250,preparation clerk,low_procurement_signal_score,5,5,2026-06-27 17:34:06
SPNR-000176,semantic_pattern,SP-000254,support and clerical,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000177,semantic_pattern,SP-000255,and clerical occupations,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000178,semantic_pattern,SP-000256,clerical occupations 01011,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000179,semantic_pattern,SP-000257,occupations 01011 accounting,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000180,semantic_pattern,SP-000258,01011 accounting clerk,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000181,semantic_pattern,SP-000259,accounting clerk i,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000182,semantic_pattern,SP-000260,01012 accounting clerk,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000183,semantic_pattern,SP-000261,accounting clerk ii,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000184,semantic_pattern,SP-000262,01013 accounting clerk,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000185,semantic_pattern,SP-000263,accounting clerk iii,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000186,semantic_pattern,SP-000265,01035 court reporter,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000187,semantic_pattern,SP-000266,01041 customer service,low_procurement_signal_score,5,6,2026-06-27 17:34:06
