official_registry_id,pkv_version,registry_object_type,official_object_id,object_name,domain_id,domain_name,intent,source_candidate_id,approval_status,promotion_reason,knowledge_maturity_level,created_at
OPR-000001,PKV-1.2,expression_family,OEF-000001,Residual Discovery,PDO-SUB-001,Submission and Proposal Management,Manual Review,CEF-000001,promoted,high_confidence_and_expression_count,L3,2026-06-27 11:09:39
OPR-000002,PKV-1.2,expression_family,OEF-000002,Product and Materials,PDO-TECH-001,Technical Requirements,Technical Requirement,CEF-000002,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000003,PKV-1.2,expression_family,OEF-000003,Workforce Management,PDO-PERF-001,Performance and Operations,Performance,CEF-000003,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000004,PKV-1.2,expression_family,OEF-000004,Submission Logistics,PDO-SUB-001,Submission and Proposal Management,Submission,CEF-000004,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000005,PKV-1.2,expression_family,OEF-000005,Contract Administration,PDO-LOG-001,Delivery and Logistics,Administration,CEF-000005,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000006,PKV-1.2,expression_family,OEF-000006,Cemetery Operations,PDO-PERF-001,Performance and Operations,Domain Requirement,CEF-000006,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000007,PKV-1.2,expression_family,OEF-000007,Delivery and Logistics,PDO-LOG-001,Delivery and Logistics,Delivery,CEF-000007,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000008,PKV-1.2,expression_family,OEF-000008,Past Performance Administration,PDO-SUB-001,Submission and Proposal Management,Supplier Evidence,CEF-000008,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000009,PKV-1.2,expression_family,OEF-000009,Solicitation Metadata,PDO-ACQ-001,Acquisition Strategy,Acquisition Metadata,CEF-000009,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000010,PKV-1.2,expression_family,OEF-000010,Proposal Administration,PDO-SUB-001,Submission and Proposal Management,Submission Clarification,CEF-000010,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000011,PKV-1.2,expression_family,OEF-000011,Document Forms and Tables,PDO-DOC-001,Document Structure and Administrative Forms,Document Structure,CEF-000011,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000012,PKV-1.2,expression_family,OEF-000012,Labor and Local Compliance,PDO-COMP-001,"Legal, Compliance, and Labor",Compliance,CEF-000012,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000013,PKV-1.2,expression_subfamily,OESF-000001,Domain Specific Operations / Cemetery Operations and Dignity,PDO-DOMAIN-001,Domain-Specific Operations,Domain Requirement,CESF-000001,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000014,PKV-1.2,expression_subfamily,OESF-000002,Document Fragment / Form Fragment or OCR Table Row,PDO-DOC-001,Document Structure and Administrative Forms,Document Structure Cleanup,CESF-000002,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000015,PKV-1.2,expression_subfamily,OESF-000003,Mandatory Requirement / Contractor Shall Requirement,PDO-PERF-001,Performance and Operations,Mandatory Performance Requirement,CESF-000003,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000016,PKV-1.2,expression_subfamily,OESF-000004,Submission Communication / Email and Correspondence Instruction,PDO-SUB-001,Submission and Proposal Management,Communication Workflow,CESF-000004,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000017,PKV-1.2,expression_subfamily,OESF-000005,Contractor Responsibility / Contractor Accountability and Supervision,PDO-PERF-001,Performance and Operations,Performance Responsibility,CESF-000005,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000018,PKV-1.2,expression_subfamily,OESF-000006,Solicitation Metadata / Solicitation Identification and Method,PDO-ACQ-001,Acquisition Strategy,Acquisition Metadata,CESF-000006,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000019,PKV-1.2,expression_subfamily,OESF-000007,Proposal Clarification / Proposal Volume Clarification,PDO-SUB-001,Submission and Proposal Management,Submission Clarification,CESF-000007,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000020,PKV-1.2,expression_subfamily,OESF-000008,Payment and Invoice / Invoice Submission and Payment,PDO-COM-001,Commercial and Pricing,Payment Administration,CESF-000008,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000021,PKV-1.2,expression_subfamily,OESF-000009,Delivery Location / Destination and Delivery Site,PDO-LOG-001,Delivery and Logistics,Delivery Logistics,CESF-000009,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
OPR-000022,PKV-1.2,expression_subfamily,OESF-000010,Amendment Handling / Offer Amendment Change Procedure,PDO-SUB-001,Submission and Proposal Management,Submission Compliance,CESF-000010,promoted,recommended_action_approved,L3,2026-06-27 11:09:39
