confidence_score_id,semantic_object_id,semantic_object_type,canonical_name,domain_name,evidence_count,total_frequency,source_count,interpretation_confidence,eligibility_confidence,evidence_score,source_score,final_confidence_score,confidence_band,created_at
SCONF-000001,SPO2-000001,Submission Instruction,Solicitation Amendment,Submission and Proposal Management,5,95,14,0.91,0.71,1.0,1.0,0.902,high,2026-06-28 17:16:16
SCONF-000002,SPO2-000002,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,6,106,13,0.92,0.63,1.0,1.0,0.89,high,2026-06-28 17:16:16
SCONF-000003,SPO2-000003,Acquisition Metadata,Solicitation Number,Acquisition Strategy,1,30,4,0.9,0.63,0.75,0.64,0.777,medium,2026-06-28 17:16:16
SCONF-000004,SPO2-000004,Contract Type,Firm Fixed Price,Commercial and Pricing,1,25,4,0.95,0.71,0.7,0.64,0.805,medium,2026-06-28 17:16:16
SCONF-000005,SPO2-000005,Pricing Structure,Unit Price,Commercial and Pricing,1,24,5,0.9,0.71,0.69,0.7,0.79,medium,2026-06-28 17:16:16
SCONF-000006,SPO2-000006,Procurement Role,Contracting Officer,Acquisition Strategy,1,22,5,0.9,0.79,0.67,0.7,0.802,medium,2026-06-28 17:16:16
SCONF-000007,SPO2-000007,Technical Requirement,Performance Work Statement,Technical Requirements,1,22,5,0.92,0.79,0.67,0.7,0.811,medium,2026-06-28 17:16:16
SCONF-000008,SPO2-000008,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,1,16,3,0.9,0.63,0.61,0.58,0.74,medium,2026-06-28 17:16:16
SCONF-000009,SPO2-000009,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,1,16,3,0.82,0.63,0.61,0.58,0.704,medium,2026-06-28 17:16:16
SCONF-000010,SPO2-000010,Supplier Qualification,Past Performance,Supplier Eligibility and Qualifications,1,14,2,0.88,0.71,0.59,0.52,0.734,medium,2026-06-28 17:16:16
SCONF-000011,SPO2-000011,Acquisition Metadata,Request for Information,Acquisition Strategy,1,14,4,0.9,0.71,0.59,0.64,0.761,medium,2026-06-28 17:16:16
SCONF-000012,SPO2-000012,Uninterpreted Expression,Administrative Support And Clerical,,1,10,2,0.25,0.45,0.55,0.52,0.404,low,2026-06-28 17:16:16
SCONF-000013,SPO2-000013,Proposal Structure,Proposal Volume,Submission and Proposal Management,1,10,3,0.88,0.63,0.55,0.58,0.719,medium,2026-06-28 17:16:16
SCONF-000014,SPO2-000014,Uninterpreted Expression,Solicitation Metadata,,1,10,1,0.25,0.63,0.55,0.46,0.428,low,2026-06-28 17:16:16
SCONF-000015,SPO2-000015,Acquisition Metadata,Combined Synopsis Solicitation,Acquisition Strategy,2,15,3,0.89,0.71,0.7,0.58,0.769,medium,2026-06-28 17:16:16
SCONF-000016,SPO2-000016,Supplier Qualification,Small Business Set-Aside,Supplier Eligibility and Qualifications,1,9,1,0.86,0.71,0.54,0.46,0.706,medium,2026-06-28 17:16:16
SCONF-000017,SPO2-000017,Uninterpreted Expression,Amendments Of Solicitations,,1,8,2,0.25,0.71,0.53,0.52,0.45,low,2026-06-28 17:16:16
SCONF-000018,SPO2-000018,Delivery Requirement,Place of Performance,Delivery and Logistics,1,8,3,0.9,0.71,0.53,0.58,0.74,medium,2026-06-28 17:16:16
SCONF-000019,SPO2-000019,Acquisition Metadata,Method of Solicitation,Acquisition Strategy,1,6,2,0.88,0.71,0.51,0.52,0.718,medium,2026-06-28 17:16:16
SCONF-000020,SPO2-000020,Acquisition Metadata,Request for Proposal,Acquisition Strategy,1,6,2,0.9,0.79,0.51,0.52,0.743,medium,2026-06-28 17:16:16
SCONF-000021,SPO2-000021,Technical Requirement,Statement of Work,Technical Requirements,1,6,2,0.9,0.71,0.51,0.52,0.727,medium,2026-06-28 17:16:16
SCONF-000022,SPO2-000022,Uninterpreted Expression,Award A Contract,,1,4,1,0.25,0.71,0.49,0.46,0.432,low,2026-06-28 17:16:16
SCONF-000023,SPO2-000023,Uninterpreted Expression,Corps Base Camp Lejeune,,1,4,1,0.25,0.45,0.49,0.46,0.38,low,2026-06-28 17:16:16
SCONF-000024,SPO2-000024,Uninterpreted Expression,Marine Corps Base Camp,,1,4,1,0.25,0.45,0.49,0.46,0.38,low,2026-06-28 17:16:16
SCONF-000025,SPO2-000025,Uninterpreted Expression,Army Mil Proposal Default,,1,3,1,0.25,0.63,0.48,0.46,0.414,low,2026-06-28 17:16:16
SCONF-000026,SPO2-000026,Uninterpreted Expression,Award A Firm Fixed,,1,3,1,0.25,0.63,0.48,0.46,0.414,low,2026-06-28 17:16:16
SCONF-000027,SPO2-000027,Uninterpreted Expression,Award Will Be Made,,1,3,1,0.25,0.63,0.48,0.46,0.414,low,2026-06-28 17:16:16
SCONF-000028,SPO2-000028,Uninterpreted Expression,Chess Army Mil Proposal,,1,3,1,0.25,0.63,0.48,0.46,0.414,low,2026-06-28 17:16:16
SCONF-000029,SPO2-000029,Uninterpreted Expression,Cl Marine Corps Base,,1,3,1,0.25,0.45,0.48,0.46,0.378,low,2026-06-28 17:16:16
SCONF-000030,SPO2-000030,Uninterpreted Expression,Copies Of The Amendment,,1,3,1,0.25,0.63,0.48,0.46,0.414,low,2026-06-28 17:16:16
SCONF-000031,SPO2-000031,Uninterpreted Expression,Far And Dosar Provisions,,1,3,1,0.25,0.45,0.48,0.46,0.378,low,2026-06-28 17:16:16
SCONF-000032,SPO2-000032,Uninterpreted Expression,Food And Drug Administration,,1,3,1,0.25,0.45,0.48,0.46,0.378,low,2026-06-28 17:16:16
SCONF-000033,SPO2-000033,Uninterpreted Expression,Mil Proposal Default Index,,1,3,1,0.25,0.63,0.48,0.46,0.414,low,2026-06-28 17:16:16
SCONF-000034,SPO2-000034,Uninterpreted Expression,Renovation Cl Marine Corps,,1,3,1,0.25,0.45,0.48,0.46,0.378,low,2026-06-28 17:16:16
SCONF-000035,SPO2-000035,Acquisition Metadata,Request for Quotation,Acquisition Strategy,1,3,1,0.9,0.71,0.48,0.46,0.712,medium,2026-06-28 17:16:16
SCONF-000036,SPO2-000036,Pricing Structure,Payment and Invoice,Commercial and Pricing,1,2,1,0.88,0.71,0.47,0.46,0.701,medium,2026-06-28 17:16:16
