plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_patterns,candidate_count,classification_score,confidence,classification_status,source_statement,created_at
OPLUC-000001,GSTMT-000001,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-001,Proposal,Proposal Structure,Proposal Structure,Proposal Intelligence,proposal volume,2,103,0.95,optimized_classified,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",2026-06-24 23:11:06
OPLUC-000002,GSTMT-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-001,Proposal,Proposal Structure,Proposal Structure,Proposal Intelligence,proposal volume;proposal volumes,2,106,0.95,optimized_classified,Offerors shall submit five (5) proposal volumes as identified in the solicitation:,2026-06-24 23:11:06
OPLUC-000003,GSTMT-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,volume\s+i+;technical proposal;price proposal;administrative proposal;past performance;contract documentation,4,117,0.95,optimized_classified,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,2026-06-24 23:11:06
OPLUC-000004,GSTMT-000010,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,contract documentation,3,108,0.95,optimized_classified,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors.",2026-06-24 23:11:06
OPLUC-000005,GSTMT-000014,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,contract documentation,1,108,0.95,optimized_classified,Volume V – Contract Documentation corresponds to Evaluation Factor 5.,2026-06-24 23:11:06
OPLUC-000006,GSTMT-000016,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,shall submit;offerors.*submit,1,101,0.95,optimized_classified,Offerors shall submit Volume V in accordance with the solicitation instructions.,2026-06-24 23:11:06
OPLUC-000007,GSTMT-000018,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,1,68,0.94,optimized_classified,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,2026-06-24 23:11:06
OPLUC-000008,GSTMT-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,1,98,0.95,optimized_classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-24 23:11:06
OPLUC-000009,GSTMT-000032,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contracting officer,1,68,0.94,optimized_classified,Questionnaire must be submitted via email directly to the Contracting Officer and Contract Specialist from a corporate email account.,2026-06-24 23:11:06
OPLUC-000010,GSTMT-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,past performance,2,108,0.95,optimized_classified,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",2026-06-24 23:11:06
OPLUC-000011,GSTMT-000050,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,1,68,0.94,optimized_classified,Consideration must be made for local holidays due to local labor laws to maintain this schedule.,2026-06-24 23:11:06
OPLUC-000012,GSTMT-000054,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,PLU-SUP-005,Supplier Qualification,Key Personnel,Key Personnel,Staffing Intelligence,staffing,1,81,0.95,optimized_classified,"and all necessary staffing, management and maintenance required to perform these services.",2026-06-24 23:11:06
