false_positive_id,consolidated_signal_id,old_signal_type,old_value,new_precise_type,new_precise_value,status,reason,evidence_examples
FP-000001,CEVAL-000023,evaluation_factor,Price,review_required,Price,review,insufficient_precision_context,onfirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently. Please confirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently.
FP-000002,CEVAL-000022,evaluation_factor,Price,pricing_structure,Price,reclassified,price_language_is_pricing_structure_not_evaluation_factor,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QU 36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Con || 36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT 36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached State || SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental 36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the a
FP-000003,CEVAL-000031,evaluation_factor,Price,pricing_structure,Price,reclassified,price_language_is_pricing_structure_not_evaluation_factor,"ten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. PR481393 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. || 3 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. PR481393 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. || Firm Fixed Price Small Business Set-Aside: Firm Fixed Price Small Business Set-Aside:"
FP-000004,CEVAL-000033,evaluation_factor,Price,pricing_structure,Price,reclassified,price_language_is_pricing_structure_not_evaluation_factor,"ten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. PR480603 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. || 3 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. PR480603 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. || Firm Fixed Price Small Business Set-Aside: Firm Fixed Price Small Business Set-Aside:"
FP-000005,CEVAL-000024,evaluation_factor,Price,pricing_structure,Price,reclassified,price_language_is_pricing_structure_not_evaluation_factor,"REQUEST FOR QUOTATION SPMYM326Q1134 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: REQUEST FOR QUOTATION SPMYM326Q1134 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: || PRICE LISTING/GSA Is this a PRICE LISTED item? PRICE LISTING/GSA Is this a PRICE LISTED item? || If Yes, include copy of price list with your quote. If Yes, include copy of price list with your quote."
FP-000006,CEVAL-000005,evaluation_factor,Price,pricing_structure,Price,reclassified,price_language_is_pricing_structure_not_evaluation_factor,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote co As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce || hese instructions and will be most advantageous to the Government, considering the lowest price technically acce As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce || As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote co As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce"
FP-000007,CEVAL-000030,evaluation_factor,Past Performance,document_marking,Source Selection Sensitive,reclassified,source_selection_sensitive_is_document_marking,Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is in Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is intended for use as source selection information and as such is deemed Source Selection Sensitive.
FP-000008,CEVAL-000025,evaluation_factor,Price,pricing_structure,Price,reclassified,price_language_is_pricing_structure_not_evaluation_factor,Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs. Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs. || Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs. Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs.
FP-000009,CEVAL-000026,evaluation_factor,Price,review_required,Price,review,insufficient_precision_context,"Is the contractor expected to purchase new software licenses within the fixed-price base rate, or will the Embassy provide existing proprietary software tools to our technic Is the contractor expected to purchase new software licenses within the fixed-price base rate, or will the Embassy provide existing proprietary software tools to our technicians on-site?"
FP-000010,CEVAL-000032,evaluation_factor,Price,review_required,Price,review,insufficient_precision_context,"02/23 PRICE AND PAYMENT PROCEDURES 01 30 00 08/25 ADMINISTRATIVE REQUIREMENTS 01 31 23.13 20 05/17, C 02/23 PRICE AND PAYMENT PROCEDURES 01 30 00 08/25 ADMINISTRATIVE REQUIREMENTS 01 31 23.13 20 05/17, CHG 7:"
FP-000011,CEVAL-000001,evaluation_factor,Past Performance,proposal_component,Past Performance,reclassified,proposal_volume_language_not_evaluation_factor,Volume I – Administrative Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. || Volume II – Technical Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. || Volume III – Past Performance • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
