canonical_requirement_id,old_type,new_type,old_named_value,new_named_value,matched_evidence,source_statement
CREQ-000003,proposal_requirement,submission_requirement,five (5) proposal volumes,proposal,submit five (5) proposal,Offerors shall submit five (5) proposal volumes as identified in the solicitation:
CREQ-000004,experience_requirement,submission_requirement,Past Performance,Proposal,submit all five volumes in accordance with the proposal,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
CREQ-000006,review_required,compliance_requirement,,compliance,compliance,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.
CREQ-000007,evaluation_requirement,contract_administration_requirement,Evaluation Factor,cor,cor,Volume V – Contract Documentation corresponds to Evaluation Factor 5.
CREQ-000008,operational_requirement,contract_administration_requirement,,cor,cor,Offerors shall submit Volume V in accordance with the solicitation instructions.
CREQ-000009,experience_requirement,contract_administration_requirement,past performance,contract specialist,contract specialist,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact."
CREQ-000016,proposal_requirement,submission_requirement,quote,quote,submit a quote,2.1 You are invited to submit a quote/offer in response to Solicitation W912CL-26-R- A004 by 15:00 PM CST on 24 June 2026.
CREQ-000018,evaluation_requirement,evaluation_framework,Basis for Award,Basis for Award,Basis for Award,52.212-2 - EVALUATION--COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (NOV 2021) Basis for Award.
CREQ-000020,review_required,evaluation_framework,,following factors shall be used to evaluate,following factors shall be used to evaluate,The following factors shall be used to evaluate quotes:
CREQ-000021,experience_requirement,contract_administration_requirement,Past Performance,cor,cor,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CREQ-000023,evaluation_requirement,contract_administration_requirement,technical capability,cor,cor,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable” rating in the technical capability assessment."
CREQ-000024,review_required,evaluation_framework,,evaluation criteria,evaluation criteria,Quotes that exceed the evaluation criteria will not receive higher ratings.
CREQ-000026,evaluation_requirement,evaluation_framework,LPTA,source selection process,source selection process,The LPTA source selection process does not permit tradeoffs between price and non-price factors.
CREQ-000031,operational_requirement,registration_requirement,,SAM,registered in SAM,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award."
CREQ-000032,review_required,submission_requirement,,MUST be filled in,MUST be filled in,Provisions below MUST be filled in to be considered for award.
CREQ-000035,certification_requirement,compliance_requirement,CERTIFICATE OF COMPLIANCE,CERTIFICATE OF COMPLIANCE,COMPLIANCE,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.
CREQ-000037,certification_requirement,compliance_requirement,CERTIFICATE OF COMPLIANCE,CERTIFICATE OF COMPLIANCE,COMPLIANCE,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.
CREQ-000040,review_required,evaluation_framework,,evaluation criteria,evaluation criteria,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria)."
CREQ-000042,review_required,capability_statement_requirement,,qualified vendors,qualified vendors,The VHA Network Contracting Office 6 (NCO 6) is conducting a market survey to find qualified vendors who can provide the following item:
CREQ-000043,operational_requirement,product_or_material_requirement,,product information,product information,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation."
CREQ-000044,operational_requirement,authorization_requirement,,authorized distributor,authorized distributor,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products."
CREQ-000045,review_required,authorization_requirement,,authorized distributor letter,authorized distributor,Failure to submit an authorized distributor letter shall result in the product(s) potentially offered to be considered “grey market”.
CREQ-000046,operational_requirement,contract_administration_requirement,provide material,Contracting Officer,Contracting Officer,The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR).
CREQ-000047,operational_requirement,contract_administration_requirement,,COR,COR,The Vendor shall provide the following material upon request by the COR:
CREQ-000049,operational_requirement,product_or_material_requirement,deliver to,deliver to,deliver to,"Destination The contractor shall deliver to Black Hills National Cemetery located at 20901 Pleasant Valley Drive, Sturgis, SD 57785 the following:"
