domain_id,domain_name,definition,commercial_value,status,created_at
PDO-ACQ-001,Acquisition Strategy,"Procurement method, notice type, market research, solicitation strategy, competition posture, set-aside, and acquisition metadata.","Opportunity qualification, bid/no-bid analysis, pipeline segmentation.",active,2026-06-27 11:09:14
PDO-SUB-001,Submission and Proposal Management,"Proposal volumes, submission procedures, amendment acknowledgements, clarifications, communications, and offer instructions.","Proposal compliance, response planning, capture workflow automation.",active,2026-06-27 11:09:14
PDO-EVAL-001,Evaluation and Source Selection,"Award basis, evaluation factors, evaluation method, LPTA, best value, tradeoff, and source selection constraints.","Win strategy, capture prioritization, evaluation framework intelligence.",active,2026-06-27 11:09:14
PDO-COM-001,Commercial and Pricing,"Pricing schedules, quote terms, contract type, payment, invoicing, unit prices, and commercial terms.","Pricing benchmarks, pricing strategy, contract economics.",active,2026-06-27 11:09:14
PDO-SUP-001,Supplier Eligibility and Qualifications,"Supplier registration, authorization, certifications, past performance, references, and capability evidence.","Supplier fit scoring, qualification gap analysis, vendor positioning.",active,2026-06-27 11:09:14
PDO-PERF-001,Performance and Operations,"Mandatory performance obligations, contractor responsibility, staffing, service delivery, and operational execution.","Requirement understanding, delivery risk, supplier capability matching.",active,2026-06-27 11:09:14
PDO-LOG-001,Delivery and Logistics,"Delivery location, destination, shipment, transportation, site access, FOB, and logistics constraints.","Delivery planning, fulfillment feasibility, cost estimation.",active,2026-06-27 11:09:14
PDO-COMP-001,"Legal, Compliance, and Labor","FAR/DFARS clauses, labor laws, Davis-Bacon, OSHA, privacy, PHI, subcontracting, and regulatory compliance.","Compliance risk scoring, eligibility analysis, legal requirement extraction.",active,2026-06-27 11:09:14
PDO-TECH-001,Technical Requirements,"Products, materials, dimensions, equipment, technical clarifications, specifications, and product capability.","Capability matching, product fit, technical gap analysis.",active,2026-06-27 11:09:14
PDO-DOMAIN-001,Domain-Specific Operations,"Industry or mission-specific requirements such as cemetery operations, healthcare services, base life support, and specialized agency missions.","Vertical intelligence, niche supplier matching, domain-specific opportunity search.",active,2026-06-27 11:09:14
PDO-DOC-001,Document Structure and Administrative Forms,"Forms, OCR fragments, tables, cover sheets, SF-1449, table of contents, and administrative document metadata.","Document cleanup, evidence recovery, false-positive reduction.",active,2026-06-27 11:09:14
PDO-UNK-001,Residual Unknown,Expressions not yet assigned to a stable procurement domain.,Discovery backlog and taxonomy expansion monitoring.,active,2026-06-27 11:09:14
