plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_patterns,candidate_count,classification_score,confidence,reasoning_basis,match_type,classification_status,source_statement,created_at
RPLUC-000001,GSTMT-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,shall submit;offerors.*submit,1,106,0.82,single_rule,single,reasoned_classified,Offerors shall submit five (5) proposal volumes as identified in the solicitation:,2026-06-25 06:10:29
RPLUC-000002,GSTMT-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,volume\s+i;technical proposal;price proposal;administrative proposal;contract documentation;offerors should prepare;submit;proposal;volume,2,154,0.94,Proposal volume bundle,bundle,reasoned_classified,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,2026-06-25 06:10:29
RPLUC-000003,GSTMT-000010,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-EVAL-002,Evaluation,Evaluation Navigation,Evaluation Navigation,Document Navigation,52\.212-2;evaluation factors;factor,2,135,0.94,Evaluation navigation bundle,bundle,reasoned_classified,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors.",2026-06-25 06:10:29
RPLUC-000004,GSTMT-000014,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,contract documentation;volume,1,127,0.94,Proposal volume bundle,bundle,reasoned_classified,Volume V – Contract Documentation corresponds to Evaluation Factor 5.,2026-06-25 06:10:29
RPLUC-000005,GSTMT-000016,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,shall submit;offerors.*submit,1,106,0.82,single_rule,single,reasoned_classified,Offerors shall submit Volume V in accordance with the solicitation instructions.,2026-06-25 06:10:29
RPLUC-000006,GSTMT-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,1,102,0.82,single_rule,single,reasoned_classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-25 06:10:29
RPLUC-000007,GSTMT-000032,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contracting officer,1,96,0.82,single_rule,single,reasoned_classified,Questionnaire must be submitted via email directly to the Contracting Officer and Contract Specialist from a corporate email account.,2026-06-25 06:10:29
RPLUC-000008,GSTMT-000054,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,PLU-SUP-005,Supplier Qualification,Key Personnel,Key Personnel,Staffing Intelligence,staffing,1,100,0.82,single_rule,single,reasoned_classified,"and all necessary staffing, management and maintenance required to perform these services.",2026-06-25 06:10:29
RPLUC-000009,GSTMT-000056,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government;technical;price,1,144,0.94,Best value award framework bundle,bundle,reasoned_classified,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",2026-06-25 06:10:29
RPLUC-000010,GSTMT-000061,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,unit price;quantity;amount;supplies/services;schedule of supplies;item number,1,143,0.94,Pricing schedule bundle,bundle,reasoned_classified,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,2026-06-25 06:10:29
