residual_id,expression_id,canonical_statement_id,reason,expression_text,source_count,created_at
RDA-000001,PEL-000021,CGS-000021,no_recursive_refinement_match,"As part of our proposal, we have listed you as a reference on our performance for this type of service with your agency under the previous/current contract listed below.",1,2026-06-26 16:59:32
RDA-000002,PEL-000034,CGS-000034,no_recursive_refinement_match,Consideration must be made for local holidays due to local labor laws to maintain this schedule.,1,2026-06-26 16:59:32
RDA-000003,PEL-000035,CGS-000035,no_recursive_refinement_match,"Further consideration must be given for nationalities that are allowed to work within the Panama City, Panama/ Joint Security Cooperation Group- Panama (JSCG-P), due to limitations imposed by the local Government on the number of specific nationalities which are allowed to work within the country at any given time.",1,2026-06-26 16:59:32
RDA-000004,PEL-000036,CGS-000036,no_recursive_refinement_match,"This requirement is for base life support services at Cristobal Colon, formerly known as Fort Sherman, Panama.",1,2026-06-26 16:59:32
RDA-000005,PEL-000037,CGS-000037,no_recursive_refinement_match,bulk fuel operations (limited to generators supporting site power requirements);,1,2026-06-26 16:59:32
RDA-000006,PEL-000038,CGS-000038,no_recursive_refinement_match,"and all necessary staffing, management and maintenance required to perform these services.",1,2026-06-26 16:59:32
RDA-000007,PEL-000039,CGS-000039,no_recursive_refinement_match,2.1 You are invited to submit a quote/offer in response to Solicitation W912CL-26-R- A004 by 15:00 PM CST on 24 June 2026.,1,2026-06-26 16:59:32
RDA-000008,PEL-000051,CGS-000051,no_recursive_refinement_match,"If an offeror fails to meet all solicitation requirements, the Government may not make an award to that offeror.",1,2026-06-26 16:59:32
RDA-000009,PEL-000069,CGS-000069,no_recursive_refinement_match,Each Data Item Submitted by Vendor must be Submitted under a Separate Shipment Number.,2,2026-06-26 16:59:32
RDA-000010,PEL-000076,CGS-000076,no_recursive_refinement_match,"The Department of Veterans Affairs, Salisbury VAMC has a requirement for Solar Shades.",1,2026-06-26 16:59:32
RDA-000011,PEL-000101,CGS-000101,no_recursive_refinement_match,"Any doubts as to proper procedures shall be brought to the attention of the COR, Director/Assistant Director, or",1,2026-06-26 16:59:32
RDA-000012,PEL-000107,CGS-000107,no_recursive_refinement_match,Failure to follow the document format or the solicitation guidelines will render the submission,1,2026-06-26 16:59:32
RDA-000013,PEL-000108,CGS-000108,no_recursive_refinement_match,Notice of Intent #FDA-SS-26-06202026 The Food and Drug Administration intends to make sole source awards to the following:,1,2026-06-26 16:59:32
RDA-000014,PEL-000110,CGS-000110,no_recursive_refinement_match,Any other firms desiring consideration must fully identify their interest and capability to provide this service or submit a proposal within 7 days to the individual listed.,1,2026-06-26 16:59:32
RDA-000015,PEL-000116,CGS-000116,no_recursive_refinement_match,Submission of any information in response to this market survey is purely voluntary and FDA welcomes responses from all interested parties;,1,2026-06-26 16:59:32
RDA-000016,PEL-000117,CGS-000117,no_recursive_refinement_match,The FDA will use the results of the market research to determine if sources are capable of satisfying the agency's requirements exist based on the response received to the Government's questions contained in this notice.,1,2026-06-26 16:59:32
RDA-000017,PEL-000122,CGS-000122,no_recursive_refinement_match,"THE GOVERNMENT REQUIRES PERFORMANCE OF THE WORK DESCRIBED IN THESE DOCUMENTS (Title, identifying number, date) Project Title:",1,2026-06-26 16:59:32
RDA-000018,PEL-000125,CGS-000125,no_recursive_refinement_match,"an equitable and open process that serves both industry and the public good, the American National Standards Institute (ANSI, or the ""Institute"") accredits standards developing organizations (SDOs) against a set of criteria to assure openness, balance, due process, and consensus in standards development - ANSI's ""Essential Requirements."" The Institute does not develop standards itself;",1,2026-06-26 16:59:32
RDA-000019,PEL-000126,CGS-000126,no_recursive_refinement_match,"rather, ANSI-accredited SDOs may submit their documents for approval as American National Standards (ANS).",1,2026-06-26 16:59:32
RDA-000020,PEL-000129,CGS-000129,no_recursive_refinement_match,This program outlines procedures to follow but it is not intended to supersede the requirements detailed in the applicable OSHA Standards.,1,2026-06-26 16:59:32
RDA-000021,PEL-000130,CGS-000130,no_recursive_refinement_match,The Contractor Safety Program will be implemented and maintained through training and safe work practice procedures.,1,2026-06-26 16:59:32
RDA-000022,PEL-000131,CGS-000131,no_recursive_refinement_match,Facility Directors are responsible for the implementation and evaluation of this program at their facilities.,1,2026-06-26 16:59:32
RDA-000023,PEL-000132,CGS-000132,no_recursive_refinement_match,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.,1,2026-06-26 16:59:32
RDA-000024,PEL-000134,CGS-000134,no_recursive_refinement_match,"LOWBOY TRUCK...$ 11.00 0.00 TRUCK DRIVER, INCLUDES DUMP TRUCK...$ 11.07 0.00 OPERATOR:",1,2026-06-26 16:59:32
RDA-000025,PEL-000137,CGS-000137,no_recursive_refinement_match,"For this reason, the contractor's strict adherence to the specifications shall be required and shall be essential.",1,2026-06-26 16:59:32
RDA-000026,PEL-000139,CGS-000139,no_recursive_refinement_match,Ornamental grasses shall be Fountain Grass (Pennisetum Setaceum 'Alba White')- (approx.,1,2026-06-26 16:59:32
RDA-000027,PEL-000140,CGS-000140,no_recursive_refinement_match,"Could the government please provide Contractor Laydown Area Info, including location, dimensions, and if laydown will have water/electric access available?",1,2026-06-26 16:59:32
RDA-000028,PEL-000144,CGS-000144,no_recursive_refinement_match,"Can the Government provide as-built drawings and pump station information including pump curves, flow rates, piping sizes, electrical service, and available footprint for the injection system?",1,2026-06-26 16:59:32
RDA-000029,PEL-000152,CGS-000152,no_recursive_refinement_match,"(a) By completing Items 8 and 15, and returning ___1_ ___ copies of the amendment;",5,2026-06-26 16:59:32
RDA-000030,PEL-000154,CGS-000154,no_recursive_refinement_match,See Instructions at www.dol.gov/whd/forms/wh347instr.htm) Persons are not required to respond to the collection of information unless it displays a currently valid OMB control number.,1,2026-06-26 16:59:32
RDA-000031,PEL-000155,CGS-000155,no_recursive_refinement_match,§ 5.5(a)(3)(ii) require contractors to submit weekly a copy of all payrolls to the Federal agency,1,2026-06-26 16:59:32
RDA-000032,PEL-000156,CGS-000156,no_recursive_refinement_match,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.,1,2026-06-26 16:59:32
RDA-000033,PEL-000157,CGS-000157,no_recursive_refinement_match,WAGES OVERTIME You must be paid not less than one and one-half times your basic rate of pay for all hours worked over 40 in a work week.,1,2026-06-26 16:59:32
RDA-000034,PEL-000159,CGS-000159,no_recursive_refinement_match,"A contractor who falsifies certified payroll records or induces wage kickbacks may be subject to civil or criminal prosecution, fines and/or imprisonment.",1,2026-06-26 16:59:32
RDA-000035,PEL-000164,CGS-000164,no_recursive_refinement_match,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.,1,2026-06-26 16:59:32
RDA-000036,PEL-000166,CGS-000166,no_recursive_refinement_match,"This is a non-personnel services contract to provide Defense Enrollment and Eligibility Reporting System (DEERS)/ Real Time Automated Personnel Identification System (RAPIDS) Common Access Card (CAC) support services for the Installation Management Command (IMCOM) at Fort Bragg, North Carolina.",2,2026-06-26 16:59:32
RDA-000037,PEL-000173,CGS-000173,no_recursive_refinement_match,"Section B.3 (Price/Cost Schedule, page 8) lists a quantity of 48 units for the same item.",1,2026-06-26 16:59:32
RDA-000038,PEL-000174,CGS-000174,no_recursive_refinement_match,Please confirm which quantity governs for quoting and contract performance-64 per the SOW or 48 per the Price/Cost Schedule-and issue an amendment or written clarification before the offer due date.,2,2026-06-26 16:59:32
RDA-000039,PEL-000176,CGS-000176,no_recursive_refinement_match,"Should offerors quote the annual subscription cost for the base year only, or should the quote reflect a multi-year term?",1,2026-06-26 16:59:32
