evaluation_signal_id,atom_id,notice_id,opportunity_title,source_file,group_id,group_type,group_name,signal_type,signal_value,importance_rank,weight_hint,mandatory_context,source_context,confidence
EVAL-000001,ATOM-000003,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000001,submission_package,Submission Requirements,evaluation_factor,Past Performance,1,signal,yes,Volume I – Administrative Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000002,ATOM-000003,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000001,submission_package,Submission Requirements,evaluation_factor,Price,1,cost_factor,yes,Volume I – Administrative Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000003,ATOM-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000001,submission_package,Submission Requirements,evaluation_factor,Past Performance,1,signal,yes,Volume II – Technical Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000004,ATOM-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000001,submission_package,Submission Requirements,evaluation_factor,Price,1,cost_factor,yes,Volume II – Technical Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000005,ATOM-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000002,evaluation_framework,Evaluation Factors,evaluation_factor,Past Performance,1,signal,yes,Volume III – Past Performance • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000006,ATOM-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000002,evaluation_framework,Evaluation Factors,evaluation_factor,Price,1,cost_factor,yes,Volume III – Past Performance • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000007,ATOM-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000002,evaluation_framework,Evaluation Factors,evaluation_factor,Past Performance,1,signal,yes,Volume IV – Price Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000008,ATOM-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000002,evaluation_framework,Evaluation Factors,evaluation_factor,Price,1,cost_factor,yes,Volume IV – Price Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000009,ATOM-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000001,submission_package,Submission Requirements,evaluation_factor,Past Performance,1,signal,yes,Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
EVAL-000010,ATOM-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000001,submission_package,Submission Requirements,evaluation_factor,Price,1,cost_factor,yes,Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.75
