search_record_id,node_id,canonical_name,node_type,domain_name,search_text,related_terms,created_at
KGSRCH-000001,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission and Proposal Management,Solicitation Amendment | Submission Instruction | Submission and Proposal Management | Combined Synopsis Solicitation Contracting Officer Method of Solicitation Proposal Volume Request for Information Request for Proposal Request for Quotation Solicitation Number,Combined Synopsis Solicitation;Contracting Officer;Method of Solicitation;Proposal Volume;Request for Information;Request for Proposal;Request for Quotation;Solicitation Number,2026-06-29 15:40:03
KGSRCH-000002,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,Domain-Specific Operations,National Cemetery Operations | Domain Specific Requirement | Domain-Specific Operations | Food and Drug Administration Performance Work Statement Statement of Work,Food and Drug Administration;Performance Work Statement;Statement of Work,2026-06-29 15:40:03
KGSRCH-000003,KGNODE2-000003,Firm Fixed Price,Contract Type,Commercial and Pricing,Firm Fixed Price | Contract Type | Commercial and Pricing | Award Basis Payment and Invoice Unit Price,Award Basis;Payment and Invoice;Unit Price,2026-06-29 15:40:03
KGSRCH-000004,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition Strategy,Contracting Officer | Procurement Role | Acquisition Strategy | Combined Synopsis Solicitation Method of Solicitation Request for Information Request for Proposal Request for Quotation Solicitation Amendment Solicitation Number,Combined Synopsis Solicitation;Method of Solicitation;Request for Information;Request for Proposal;Request for Quotation;Solicitation Amendment;Solicitation Number,2026-06-29 15:40:03
KGSRCH-000005,KGNODE2-000005,Performance Work Statement,Technical Requirement,Technical Requirements,Performance Work Statement | Technical Requirement | Technical Requirements | National Cemetery Operations Past Performance Small Business Set-Aside Statement of Work,National Cemetery Operations;Past Performance;Small Business Set-Aside;Statement of Work,2026-06-29 15:40:03
KGSRCH-000006,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation and Source Selection,Award Basis | Evaluation Method | Evaluation and Source Selection | Combined Synopsis Solicitation Evaluation Factors Firm Fixed Price Method of Solicitation Request for Information Request for Proposal Request for Quotation Solicitation Number,Combined Synopsis Solicitation;Evaluation Factors;Firm Fixed Price;Method of Solicitation;Request for Information;Request for Proposal;Request for Quotation;Solicitation Number,2026-06-29 15:40:03
KGSRCH-000007,KGNODE2-000007,Marine Corps Base Camp Lejeune,Military Installation,Domain-Specific Operations,Marine Corps Base Camp Lejeune | Military Installation | Domain-Specific Operations | Place of Performance,Place of Performance,2026-06-29 15:40:03
KGSRCH-000008,KGNODE2-000008,United States Army,Military Organization,Domain-Specific Operations,United States Army | Military Organization | Domain-Specific Operations | ,,2026-06-29 15:40:03
KGSRCH-000009,KGNODE2-000009,United States Marine Corps,Military Organization,Domain-Specific Operations,United States Marine Corps | Military Organization | Domain-Specific Operations | ,,2026-06-29 15:40:03
KGSRCH-000010,KGNODE2-000010,FAR and DOSAR Provisions,Regulation Set,"Legal, Compliance, and Labor","FAR and DOSAR Provisions | Regulation Set | Legal, Compliance, and Labor | ",,2026-06-29 15:40:03
