orphan_analysis_id,node_id,canonical_name,node_type,domain_name,in_degree,out_degree,total_degree,orphan_status,recommended_action,created_at
KGORP-000001,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission and Proposal Management,9,0,9,connected,none,2026-06-29 11:35:33
KGORP-000002,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,Domain-Specific Operations,1,2,3,connected,none,2026-06-29 11:35:33
KGORP-000003,KGNODE2-000003,Firm Fixed Price,Contract Type,Commercial and Pricing,1,2,3,connected,none,2026-06-29 11:35:33
KGORP-000004,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition Strategy,0,8,8,connected,none,2026-06-29 11:35:33
KGORP-000005,KGNODE2-000005,Performance Work Statement,Technical Requirement,Technical Requirements,1,3,4,connected,none,2026-06-29 11:35:33
KGORP-000006,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation and Source Selection,6,2,8,connected,none,2026-06-29 11:35:33
KGORP-000007,KGNODE2-000007,Marine Corps Base Camp Lejeune,Military Installation,Domain-Specific Operations,0,1,1,weakly_connected,monitor_or_enrich_relationships,2026-06-29 11:35:33
KGORP-000008,KGNODE2-000008,United States Army,Military Organization,Domain-Specific Operations,0,0,0,orphan,review_node_or_create_relationships,2026-06-29 11:35:33
KGORP-000009,KGNODE2-000009,United States Marine Corps,Military Organization,Domain-Specific Operations,0,0,0,orphan,review_node_or_create_relationships,2026-06-29 11:35:33
KGORP-000010,KGNODE2-000010,FAR and DOSAR Provisions,Regulation Set,"Legal, Compliance, and Labor",0,0,0,orphan,review_node_or_create_relationships,2026-06-29 11:35:33
KGORP-000011,KGNODE2-000011,Food and Drug Administration,Federal Agency,Acquisition Strategy,0,7,7,connected,none,2026-06-29 11:35:33
KGORP-000012,KGNODE2-000012,Solicitation Number,Acquisition Metadata,Acquisition Strategy,2,2,4,connected,none,2026-06-29 11:35:33
KGORP-000013,KGNODE2-000013,Unit Price,Pricing Structure,Commercial and Pricing,3,0,3,connected,none,2026-06-29 11:35:33
KGORP-000014,KGNODE2-000014,Evaluation Factors,Evaluation Factor,Evaluation and Source Selection,1,0,1,weakly_connected,monitor_or_enrich_relationships,2026-06-29 11:35:33
KGORP-000015,KGNODE2-000015,Table of Contents,Document Structure Object,Document Structure and Administrative Forms,0,0,0,orphan,review_node_or_create_relationships,2026-06-29 11:35:33
KGORP-000016,KGNODE2-000016,Past Performance,Supplier Qualification,Supplier Eligibility and Qualifications,2,0,2,connected,none,2026-06-29 11:35:33
KGORP-000017,KGNODE2-000017,Request for Information,Acquisition Metadata,Acquisition Strategy,2,2,4,connected,none,2026-06-29 11:35:33
KGORP-000018,KGNODE2-000018,Administrative Support and Clerical,Administrative Service Labor Category,Performance and Operations,0,0,0,orphan,review_node_or_create_relationships,2026-06-29 11:35:33
KGORP-000019,KGNODE2-000019,Proposal Volume,Proposal Structure,Submission and Proposal Management,0,1,1,weakly_connected,monitor_or_enrich_relationships,2026-06-29 11:35:33
KGORP-000020,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition Strategy,2,2,4,connected,none,2026-06-29 11:35:33
KGORP-000021,KGNODE2-000021,Small Business Set-Aside,Supplier Qualification,Supplier Eligibility and Qualifications,2,0,2,connected,none,2026-06-29 11:35:33
KGORP-000022,KGNODE2-000022,Place of Performance,Delivery Requirement,Delivery and Logistics,1,4,5,connected,none,2026-06-29 11:35:33
KGORP-000023,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,Acquisition Strategy,2,2,4,connected,none,2026-06-29 11:35:33
KGORP-000024,KGNODE2-000024,Request for Proposal,Acquisition Metadata,Acquisition Strategy,2,2,4,connected,none,2026-06-29 11:35:33
KGORP-000025,KGNODE2-000025,Statement of Work,Technical Requirement,Technical Requirements,2,2,4,connected,none,2026-06-29 11:35:33
KGORP-000026,KGNODE2-000026,Amendment Copy Requirement,Procurement Document Artifact,Document Structure and Administrative Forms,0,0,0,orphan,review_node_or_create_relationships,2026-06-29 11:35:33
KGORP-000027,KGNODE2-000027,Proposal Default Index,Proposal Document Artifact,Document Structure and Administrative Forms,0,0,0,orphan,review_node_or_create_relationships,2026-06-29 11:35:33
KGORP-000028,KGNODE2-000028,Request for Quotation,Acquisition Metadata,Acquisition Strategy,2,2,4,connected,none,2026-06-29 11:35:33
KGORP-000029,KGNODE2-000029,Payment and Invoice,Pricing Structure,Commercial and Pricing,3,0,3,connected,none,2026-06-29 11:35:33
