consolidated_signal_id,notice_id,opportunity_title,canonical_value,occurrence_count,importance_rank,weight_hints,mandatory_contexts,evidence_quality,confidence,evidence_examples
CEVAL-000023,09ce44adca35468fb46ab77206c9afb7,6515--NetApp,Price,1,1,cost_factor,optional_or_conditional,low,0.75,onfirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently. Please confirm the intended contract duration for this subscription line item so all offerors may price it accurately and consistently.
CEVAL-000022,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,Price,4,1,cost_factor,yes,medium,0.75,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QU 36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Con || 36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT 36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached State || SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental 36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the a
CEVAL-000021,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,Past Performance,3,1,signal,yes,medium,0.75,"Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, location & relevancy of work Address, Telephone Number & Email of the Con || ract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, l Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Serv || A - Statement of work B - Cemetery Operational Standards C – Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for co A - Statement of work B - Cemetery Operational Standards C – Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in"
CEVAL-000031,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),Price,7,1,cost_factor,context_dependent;yes,medium,0.75,"ten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. PR481393 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. || 3 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. PR481393 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. || Firm Fixed Price Small Business Set-Aside: Firm Fixed Price Small Business Set-Aside:"
CEVAL-000033,a3e0948c660849a5815153897d456f7d,EcoStruxure Panel Server Wired by Design (a universal concentrator Modbus gateway),Price,7,1,cost_factor,context_dependent;yes,medium,0.75,"ten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. PR480603 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. || 3 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. PR480603 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below. || Firm Fixed Price Small Business Set-Aside: Firm Fixed Price Small Business Set-Aside:"
CEVAL-000024,f29a122869e64fa19982e9655482f397,Hex Jam Nuts,Price,4,1,cost_factor,yes,medium,0.75,"REQUEST FOR QUOTATION SPMYM326Q1134 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: REQUEST FOR QUOTATION SPMYM326Q1134 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: || PRICE LISTING/GSA Is this a PRICE LISTED item? PRICE LISTING/GSA Is this a PRICE LISTED item? || If Yes, include copy of price list with your quote. If Yes, include copy of price list with your quote."
CEVAL-000011,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,Past Performance,10,1,signal,yes,medium,0.75,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CEVAL-000005,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,Price,19,1,cost_factor,yes,medium,0.75,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote co As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce || hese instructions and will be most advantageous to the Government, considering the lowest price technically acce As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce || As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote co As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce"
CEVAL-000010,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,Technical Capability,12,1,signal,yes,medium,0.75,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CEVAL-000030,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,Past Performance,1,1,signal,yes,low,0.75,Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is in Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is intended for use as source selection information and as such is deemed Source Selection Sensitive.
