candidate_subfamily_id,suggested_family_name,suggested_subfamily_name,suggested_intent,cluster_type,expression_count,source_count,confidence,recommended_action,top_patterns,sample_expressions,created_at
CESF-000001,Domain Specific Operations,Cemetery Operations and Dignity,Domain Requirement,lexical,13,13,0.86,approve_refined_subfamily,cemetery:11;grave:2;headstones:2;markers:2;dignity:1;remains:1,"National Cemetery Administration (NCA) Black Hills National Cemetery (BHNC) STATEMENT OF NEED Requirement of Aggregate Materials GENERAL INFORMATION Title of Project: || Aggregate Materials Requirement Black Hills National Cemetery has a requirement for the following materials: || The transportation/delivery of material to the cemetery will be provided by the vendor and offloaded in a designated location provided by the COR at the time of delivery. || Description Unit Max Qty 0001 Provide ¾"" Road Base Gravel (1 qty = 1 ton) Each 90 0002 Provide Crushed Fines (1 qty = 1 ton) Each 90 0003 Provide 3/8"" Clean Gravel Chips (1 qty = 1 || DIGNITY CLAUSE Respect for Headstones and Markers in National Cemeteries Handling of Markers and Headstones Every action by contractor personnel at a national cemetery must be perf",2026-06-26 16:59:32
CESF-000002,Document Fragment,Form Fragment or OCR Table Row,Document Structure Cleanup,structural,12,18,0.86,approve_refined_subfamily,administered by code:4;method of solicitation:2;dd 250:2;code 11:2;page of pages:2,"ADMINISTERED BY CODE SSS National Headquarters (NHQ) Selective Service System, 1501 Wilson Blvd, Suite 700 Same As Issuing Office Arlington, VA, 22209, US (Number, street, county,  || METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 70 || 2 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED DD One Time With Material DRAFT FINAL A 8. || CODE 11.AS OF DATE 13.DATE OF REG REPRO SUBSEQUENT 133.2 0 1 0 SUBMISSION N/A N/A N/A 16 REMARKS 0 0 0 1. || 3 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED One Time DD With Material DRAFT FINAL A 8.APP.",2026-06-26 16:59:32
CESF-000003,Mandatory Requirement,Contractor Shall Requirement,Mandatory Performance Requirement,structural,11,11,0.86,approve_refined_subfamily,contractor shall:7;shall provide:3;shall submit:2;shall complete:1;vendor shall:1;offeror shall:1,"The Contractor shall always maintain an adequate workforce for performance of all tasks defined within this Performance Work Statement (PWS). || Unless otherwise specified, the Contractor's shall complete the services daily and be readily available for emergency support. || If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation. || If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products. || The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR).",2026-06-26 16:59:32
CESF-000004,Submission Communication,Email and Correspondence Instruction,Communication Workflow,lexical,9,10,0.76,approve_refined_subfamily,contact:4;email:3;submitted via email:1;send quotes:1;e-mail:1;correspondence:1,"Questionnaire must be submitted via email directly to the Contracting Officer and Contract Specialist from a corporate email account. || stephen.p.smith161.civ@us.navy.mil Quotation Valid For ___Days Also send quotes to: || GENERAL INFORMATION CONTACT INFORMATION ADDITIONAL INFORMATION DESCRIPTION This pre-solicitation notice is not a request for formal proposals or quotes. || All correspondence and responses shall be via e-mail to Aleshia.Hernandez@va.gov. || Additionally, should any activity result in the exposure and/or damage to any remains, container for remains (e.g., casket or urn), or outer burial container, the contractor must c",2026-06-26 16:59:32
CESF-000005,Contractor Responsibility,Contractor Accountability and Supervision,Performance Responsibility,intent,9,10,0.76,approve_refined_subfamily,supervision:4;contractor.*responsible:4;contractor.*employees:2;not exercise any supervision:2;accountable solely to the contractor:2,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration,  || The United States (U.S.) Government shall not exercise any supervision or control over the Contractor's employees performing the tasks herein. || Such contract employees shall be accountable solely to the Contractor who, in turn shall be responsible to the U.S. || Critically important is the awareness required of the Contractor employees of the remains buried in the grounds where the work is performed. || Contractor shall be responsible for replacing damaged headstones and markers and for restoring turf damaged during performance of this work.",2026-06-26 16:59:32
CESF-000006,Solicitation Metadata,Solicitation Identification and Method,Acquisition Metadata,lexical,7,16,0.76,approve_refined_subfamily,rfp:3;solicitation number:2;request for proposal:2;rfq:2;invitation for bid:1;ifb:1,"We are currently in the process of preparing our proposal for the Selective Service System Website Modernization Requirement, Solicitation Number 90MC0026R0004. || The offeror acknowledges receipt of amendments to the Solicitation numbered and dated as follows: || REQUISITION/PURCHASE NUMBER SEALED BID (IFB) INVITATION FOR BID NEGOTIATED (RFP) REQUEST FOR PROPOSAL 7. || SBU - CONTRACTING AND ACQUISITIONS 19MX5326Q0043 Anti-climb Bi-folding gates Q8 RFP Section 10 - Software, Licenses and Passwords states that copies of software and licenses needed || This Request for Quote (RFQ) for Shade Structure Canopy is being set aside for Total Small Businesses.",2026-06-26 16:59:32
CESF-000007,Proposal Clarification,Proposal Volume Clarification,Submission Clarification,lexical,6,8,0.76,approve_refined_subfamily,bound volumes:3;proposal volume:2;volume v:2;five separate volumes:1;four bound volumes:1,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 - Solicitation Administration & Proposal Submission Q1.1 - Proposal volume clarification - Section L 2.a  || Please confirm whether the offeror is expected to submit four bound volumes or five separate volumes. || The reference to ""four (4) separately electronically submitted bound Volumes"" is a typographical error. || Offerors shall submit five (5) proposal volumes as identified in the solicitation: || Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.",2026-06-26 16:59:32
CESF-000008,Payment and Invoice,Invoice Submission and Payment,Payment Administration,lexical,6,9,0.76,approve_refined_subfamily,payment:5;submit invoices:1;invoice:1;payment.*submission:1,"SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19. || For Payment & Submission of Data refer to Clauses 252.232-7006 & 252.232-7003 or 52.232-36. || ENFORCEMENT Contract payments can be withheld to ensure workers receive wages and overtime pay due, and liquidated damages may apply if overtime pay requirements are not met. || 02/23 PRICE AND PAYMENT PROCEDURES 01 30 00 08/25 ADMINISTRATIVE REQUIREMENTS 01 31 23.13 20 05/17, CHG 7: || Can the government provide a detailed breakdown of the $500.00 per month listed as payment for all required utilities.",2026-06-26 16:59:32
CESF-000009,Delivery Location,Destination and Delivery Site,Delivery Logistics,lexical,5,8,0.76,approve_refined_subfamily,destination:3;deliver to:1;place of performance:1;delivery location:1;loading dock:1;lift gate:1,"RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FO || REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: || Department of Veterans Affairs National Cemetery Administration, Contract Services 18434 Joplin Road Triangle, VA 22172 Place of Performance: || Could you please confirm whether the delivery location has a loading dock available, or if a lift gate will be required for delivery? || REQUEST FOR QUOTATION SPMYM326Q1134 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:",2026-06-26 16:59:32
CESF-000010,Amendment Handling,Offer Amendment Change Procedure,Submission Compliance,structural,4,14,0.76,approve_refined_subfamily,letter or electronic communication:4;if by virtue of this amendment:2;change an offer already submitted:2;amendment numbers:1,"or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers. || If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electronic || If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electroni || or (c) By separate letter or electronic communication which includes a reference to the solicitation and amend",2026-06-26 16:59:32
