promotion_candidate_id,semantic_object_id,semantic_object_type,canonical_name,domain_name,governance_score,promotion_status,pkv_version,review_required,created_at
SOPC-000001,SPO2-000001,Submission Instruction,Solicitation Amendment,Submission and Proposal Management,0.896,promote_to_semantic_registry,PKV-1.3,no,2026-06-28 22:06:51
SOPC-000002,SPO2-000002,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,0.901,promote_to_semantic_registry,PKV-1.3,no,2026-06-28 22:06:51
SOPC-000003,SPO2-000003,Acquisition Metadata,Solicitation Number,Acquisition Strategy,0.744,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000004,SPO2-000004,Contract Type,Firm Fixed Price,Commercial and Pricing,0.756,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000005,SPO2-000005,Pricing Structure,Unit Price,Commercial and Pricing,0.75,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000006,SPO2-000006,Procurement Role,Contracting Officer,Acquisition Strategy,0.755,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000007,SPO2-000007,Technical Requirement,Performance Work Statement,Technical Requirements,0.759,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000008,SPO2-000008,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,0.727,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000009,SPO2-000009,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,0.711,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000010,SPO2-000010,Supplier Qualification,Past Performance,Supplier Eligibility and Qualifications,0.724,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000011,SPO2-000011,Acquisition Metadata,Request for Information,Acquisition Strategy,0.736,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000012,SPO2-000012,Administrative Service Labor Category,Administrative Support and Clerical,Performance and Operations,0.805,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000013,SPO2-000013,Proposal Structure,Proposal Volume,Submission and Proposal Management,0.718,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000014,SPO2-000014,Uninterpreted Expression,Solicitation Metadata,,0.0,discovery_backlog,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000015,SPO2-000015,Acquisition Metadata,Combined Synopsis Solicitation,Acquisition Strategy,0.764,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000016,SPO2-000016,Supplier Qualification,Small Business Set-Aside,Supplier Eligibility and Qualifications,0.712,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000017,SPO2-000017,Uninterpreted Expression,Amendments Of Solicitations,,0.0,discovery_backlog,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000018,SPO2-000018,Delivery Requirement,Place of Performance,Delivery and Logistics,0.727,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000019,SPO2-000019,Acquisition Metadata,Method of Solicitation,Acquisition Strategy,0.717,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000020,SPO2-000020,Acquisition Metadata,Request for Proposal,Acquisition Strategy,0.728,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000021,SPO2-000021,Technical Requirement,Statement of Work,Technical Requirements,0.721,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
