notice_id,opportunity_title,grounded_requirement_count,source_eval_language_count,atom_count,evaluation_atom_count,precise_eval_record_count,accepted_eval_record_count,reclassified_eval_record_count,review_eval_record_count,framework_type,framework_confidence,recovery_applied,recovered_signals,framework_signal_count,coverage_score,coverage_status,gap_reason,sample_eval_language
b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),32,2,10,3,1,0,1,0,LPTA,0.8,yes,LPTA,0,75,partial_coverage,Some evaluation framework evidence exists but the framework remains incomplete.,"An award will be made based on the lowest priced, technically acceptable proposal."
a3e0948c660849a5815153897d456f7d,EcoStruxure Panel Server Wired by Design (a universal concentrator Modbus gateway),32,2,10,3,1,0,1,0,LPTA,0.8,yes,LPTA,0,75,partial_coverage,Some evaluation framework evidence exists but the framework remains incomplete.,"An award will be made based on the lowest priced, technically acceptable proposal."
441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,28,6,9,2,1,1,0,0,Unknown,0.35,no,,1,55,partial_coverage,Some evaluation framework evidence exists but the framework remains incomplete.,"Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evaluated."
6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,1,1,1,1,1,1,0,0,Unknown,0.35,no,,1,55,partial_coverage,Some evaluation framework evidence exists but the framework remains incomplete.,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria)."
38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,51,1,25,3,1,0,1,0,Unknown,0.25,no,,0,35,remaining_extraction_gap,Evaluation language exists but still did not become a usable framework after recovery.,Facility Directors are responsible for the implementation and evaluation of this program at their facilities.
c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,24,2,5,1,2,0,2,0,Unknown,0.25,no,,0,35,remaining_extraction_gap,Evaluation language exists but still did not become a usable framework after recovery.,Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is intended for use as source selection information and as such is deemed Source Selection Sensitive.
cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,40,5,10,1,1,0,0,1,Unknown,0.25,no,,0,35,remaining_extraction_gap,Evaluation language exists but still did not become a usable framework after recovery.,TABLE OF CONTENTS SECTION 1 - THE SCHEDULE  SF-1449 cover sheet  Block 20 – SCHEDULE OF SUPPLIES/SERVICES  Block 23 – UNIT PRICE  Attachment A - Statement of Work  Attachment B - Equipment List  Attachment C - Bavak Test Protocol (Specific to Bavak Speed Gate)  Attachment D - Inspection Report (Specific to Bavak Speedgate)  Attachment E - Payment Registration Form – Pesos  Attachment F - Payment Registration– USD to a bank in the United States  Attachment G - Payment Registration– USD 
4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,43,13,12,3,4,0,2,2,Unknown,0.25,no,,0,35,remaining_extraction_gap,Evaluation language exists but still did not become a usable framework after recovery.,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5,1,5,0,0,0,0,0,,,,,0,20,remaining_extraction_gap,Evaluation language exists but still did not become a usable framework after recovery.,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation."
dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),59,1,6,0,0,0,0,0,,,,,0,20,remaining_extraction_gap,Evaluation language exists but still did not become a usable framework after recovery.,Section M – Evaluation Factors • M.2 Evaluation Approach:
