review_queue_id,semantic_object_id,semantic_object_type,canonical_name,domain_name,governance_score,promotion_status,priority,review_reason,review_status,created_at
SRPQ3-000014,SPO2-000014,Uninterpreted Expression,Solicitation Metadata,,0.0,discovery_backlog,critical,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000017,SPO2-000017,Uninterpreted Expression,Amendments Of Solicitations,,0.0,discovery_backlog,critical,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000036,SPO2-000036,Pricing Structure,Payment and Invoice,Commercial and Pricing,0.709,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000009,SPO2-000009,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,0.711,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000016,SPO2-000016,Supplier Qualification,Small Business Set-Aside,Supplier Eligibility and Qualifications,0.712,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000035,SPO2-000035,Acquisition Metadata,Request for Quotation,Acquisition Strategy,0.714,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000019,SPO2-000019,Acquisition Metadata,Method of Solicitation,Acquisition Strategy,0.717,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000013,SPO2-000013,Proposal Structure,Proposal Volume,Submission and Proposal Management,0.718,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000021,SPO2-000021,Technical Requirement,Statement of Work,Technical Requirements,0.721,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000010,SPO2-000010,Supplier Qualification,Past Performance,Supplier Eligibility and Qualifications,0.724,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000008,SPO2-000008,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,0.727,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000018,SPO2-000018,Delivery Requirement,Place of Performance,Delivery and Logistics,0.727,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000020,SPO2-000020,Acquisition Metadata,Request for Proposal,Acquisition Strategy,0.728,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000011,SPO2-000011,Acquisition Metadata,Request for Information,Acquisition Strategy,0.736,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000003,SPO2-000003,Acquisition Metadata,Solicitation Number,Acquisition Strategy,0.744,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
