explainability_id,search_result_id,search_request_id,node_id,canonical_name,why_returned,score_formula,score_components,supporting_relationships,created_at
GSEXP-000001,GSRES-000001,GSRQ-000001,KGNODE2-000003,Firm Fixed Price,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 1.0, ""lexical_score"": 1.0, ""relationship_score"": 0.3333, ""confidence_score"": 0.84, ""domain_boost"": 0.15, ""final_score"": 0.984}",Firm Fixed Price --has_pricing_structure--> Unit Price | Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Award Basis --may_result_in_contract_type--> Firm Fixed Price,2026-06-29 22:06:49
GSEXP-000002,GSRES-000002,GSRQ-000001,KGNODE2-000013,Unit Price,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.79, ""domain_boost"": 0.15, ""final_score"": 0.629}",Firm Fixed Price --has_pricing_structure--> Unit Price | Place of Performance --affects_price--> Unit Price | Place of Performance --affects_pricing--> Unit Price,2026-06-29 22:06:49
GSEXP-000003,GSRES-000003,GSRQ-000001,KGNODE2-000029,Payment and Invoice,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.701, ""domain_boost"": 0.15, ""final_score"": 0.6201}",Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Payment and Invoice,2026-06-29 22:06:49
GSEXP-000004,GSRES-000004,GSRQ-000001,KGNODE2-000006,Award Basis,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.82, ""domain_boost"": 0.0, ""final_score"": 0.482}",Award Basis --uses_evaluation_factor--> Evaluation Factors | Award Basis --may_result_in_contract_type--> Firm Fixed Price | Solicitation Number --shapes_source_selection--> Award Basis | Request for Information --shapes_source_selection--> Award Basis | Combined Synopsis Solicitation --shapes_source_selection--> Award Basis,2026-06-29 22:06:49
GSEXP-000005,GSRES-000005,GSRQ-000001,KGNODE2-000022,Place of Performance,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.3333, ""relationship_score"": 0.3333, ""confidence_score"": 0.74, ""domain_boost"": 0.0, ""final_score"": 0.2073}",Place of Performance --affects_price--> Unit Price | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Unit Price | Place of Performance --affects_pricing--> Payment and Invoice | Marine Corps Base Camp Lejeune --may_define_place_of_performance--> Place of Performance,2026-06-29 22:06:49
GSEXP-000006,GSRES-000006,GSRQ-000002,KGNODE2-000014,Evaluation Factors,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 1.0, ""relationship_score"": 0.75, ""confidence_score"": 0.74, ""domain_boost"": 0.15, ""final_score"": 0.924}",Award Basis --uses_evaluation_factor--> Evaluation Factors,2026-06-29 22:06:49
GSEXP-000007,GSRES-000007,GSRQ-000002,KGNODE2-000006,Award Basis,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 1.0, ""relationship_score"": 0.5, ""confidence_score"": 0.82, ""domain_boost"": 0.15, ""final_score"": 0.8945}",Award Basis --uses_evaluation_factor--> Evaluation Factors | Award Basis --may_result_in_contract_type--> Firm Fixed Price | Solicitation Number --shapes_source_selection--> Award Basis | Request for Information --shapes_source_selection--> Award Basis | Combined Synopsis Solicitation --shapes_source_selection--> Award Basis,2026-06-29 22:06:49
GSEXP-000008,GSRES-000008,GSRQ-000002,KGNODE2-000003,Firm Fixed Price,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.75, ""confidence_score"": 0.84, ""domain_boost"": 0.0, ""final_score"": 0.3215}",Firm Fixed Price --has_pricing_structure--> Unit Price | Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Award Basis --may_result_in_contract_type--> Firm Fixed Price,2026-06-29 22:06:49
GSEXP-000009,GSRES-000009,GSRQ-000002,KGNODE2-000012,Solicitation Number,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.75, ""confidence_score"": 0.777, ""domain_boost"": 0.0, ""final_score"": 0.3152}",Solicitation Number --shapes_source_selection--> Award Basis | Solicitation Number --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Solicitation Number | Food and Drug Administration --uses_acquisition_method--> Solicitation Number,2026-06-29 22:06:49
GSEXP-000010,GSRES-000010,GSRQ-000002,KGNODE2-000020,Combined Synopsis Solicitation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.75, ""confidence_score"": 0.769, ""domain_boost"": 0.0, ""final_score"": 0.3144}",Combined Synopsis Solicitation --shapes_source_selection--> Award Basis | Combined Synopsis Solicitation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Combined Synopsis Solicitation | Food and Drug Administration --uses_acquisition_method--> Combined Synopsis Solicitation,2026-06-29 22:06:49
