plu_id,context_family,context_type,definition,downstream_route
PLU-ACQ-001,Acquisition,Notice Type,Classifies the procurement notice or opportunity type.,Acquisition Metadata
PLU-ACQ-002,Acquisition,Procurement Method,"Classifies acquisition method such as RFQ, RFP, RFI, sources sought, sole source, or combined synopsis.",Acquisition Metadata
PLU-ACQ-003,Acquisition,Acquisition Strategy,Classifies buyer procurement strategy and acquisition approach.,Acquisition Intelligence
PLU-ACQ-004,Acquisition,Set-Aside,Classifies small business and socioeconomic set-aside language.,Eligibility Intelligence
PLU-ACQ-005,Acquisition,Contract Vehicle,"Classifies IDIQ, BPA, GWAC, schedule, or other contract vehicle language.",Contract Vehicle Intelligence
PLU-ACQ-006,Acquisition,Market Research,"Classifies market research, RFI, sources sought, and industry outreach language.",Market Intelligence
PLU-EVAL-001,Evaluation,Evaluation Framework,Classifies complete award decision framework language.,Evaluation Intelligence
PLU-EVAL-002,Evaluation,Evaluation Navigation,"Classifies section pointers such as Section M, evaluation factors, or evaluation approach headings.",Document Navigation
PLU-EVAL-003,Evaluation,Evaluation Factor,"Classifies award decision factors such as technical capability, past performance, or price.",Evaluation Intelligence
PLU-EVAL-004,Evaluation,Evaluation Method,"Classifies award methods such as LPTA, best value, tradeoff, or technically acceptable.",Evaluation Intelligence
PLU-EVAL-005,Evaluation,Award Basis,Classifies language describing how the award will be made.,Evaluation Intelligence
PLU-EVAL-006,Evaluation,Evaluation Constraint,"Classifies pass/fail gates, no-tradeoff rules, and no-extra-credit rules.",Evaluation Intelligence
PLU-EVAL-007,Evaluation,Scoring Rating,"Classifies scoring terms such as acceptable, unacceptable, good, outstanding, or marginal.",Evaluation Intelligence
PLU-EVAL-008,Evaluation,Factor Importance,"Classifies relative importance language such as paramount, more important, or equal.",Requirement Weighting
PLU-PROP-001,Proposal,Proposal Structure,Classifies proposal organization and required submission structure.,Proposal Intelligence
PLU-PROP-002,Proposal,Proposal Volume,"Classifies proposal volume language such as technical proposal, price proposal, or past performance volume.",Proposal Intelligence
