node_id,node_key,semantic_object_v3_id,semantic_object_id,node_type,canonical_name,domain_name,confidence,graph_status,publication_status,source_registry,created_at
KGNODE-000001,submission_instruction_solicitation_amendment_submission_and_proposal_management,SPO3-000001,SPO2-000001,Submission Instruction,Solicitation Amendment,Submission and Proposal Management,0.902,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000002,domain_specific_requirement_national_cemetery_operations_domain_specific_operations,SPO3-000002,SPO2-000002,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,0.89,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000003,contract_type_firm_fixed_price_commercial_and_pricing,SPO3-000004,SPO2-000004,Contract Type,Firm Fixed Price,Commercial and Pricing,0.805,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000004,procurement_role_contracting_officer_acquisition_strategy,SPO3-000006,SPO2-000006,Procurement Role,Contracting Officer,Acquisition Strategy,0.802,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000005,technical_requirement_performance_work_statement_technical_requirements,SPO3-000007,SPO2-000007,Technical Requirement,Performance Work Statement,Technical Requirements,0.811,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000006,evaluation_method_award_basis_evaluation_and_source_selection,SPO3-000022,SPO2-000022,Evaluation Method,Award Basis,Evaluation and Source Selection,0.82,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000007,military_installation_marine_corps_base_camp_lejeune_domain_specific_operations,SPO3-000023,SPO2-000023,Military Installation,Marine Corps Base Camp Lejeune,Domain-Specific Operations,0.92,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000008,military_organization_united_states_army_domain_specific_operations,SPO3-000024,SPO2-000025,Military Organization,United States Army,Domain-Specific Operations,0.82,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000009,contract_type_firm_fixed_price_commercial_and_pricing,SPO3-000025,SPO2-000026,Contract Type,Firm Fixed Price,Commercial and Pricing,0.84,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000010,military_organization_united_states_marine_corps_domain_specific_operations,SPO3-000026,SPO2-000029,Military Organization,United States Marine Corps,Domain-Specific Operations,0.86,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000011,regulation_set_far_and_dosar_provisions_legal_compliance_and_labor,SPO3-000028,SPO2-000031,Regulation Set,FAR and DOSAR Provisions,"Legal, Compliance, and Labor",0.86,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
