structured_requirement_id,grounded_statement_id,notice_id,opportunity_title,source_file,source_object_type,actor,action,artifact_type,artifact,quantity,condition,mandatory_flag,requirement_statement,structure_confidence
SREQ-000001,GSTMT-000001,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification_requirement,,,proposal_volume,proposal volume,four (4,,unknown,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",0.55
SREQ-000002,GSTMT-000003,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,proposal_instruction,offeror,submit,proposal_volume,offer,,,unknown,Please confirm whether the offeror is expected to submit four bound volumes or five separate volumes.,0.9
SREQ-000003,GSTMT-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,proposal_instruction,offeror,submit,proposal_volume,five (5) proposal volumes,five (5,,yes,Offerors shall submit five (5) proposal volumes as identified in the solicitation:,0.95
SREQ-000004,GSTMT-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification_requirement,offeror,submit,proposal_volume,technical proposal,,in accordance with the proposal instructions and content requirements provided in the solicitation,unknown,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.9
SREQ-000005,GSTMT-000010,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,proposal_instruction,,,proposal_volume,contract documentation,,,unknown,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors.",0.55
SREQ-000006,GSTMT-000012,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,0.55
SREQ-000007,GSTMT-000014,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,proposal_instruction,,,proposal_volume,contract documentation,,,unknown,Volume V – Contract Documentation corresponds to Evaluation Factor 5.,0.55
SREQ-000008,GSTMT-000016,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,proposal_instruction,offeror,submit,proposal_volume,offer,,in accordance with the solicitation instructions,yes,Offerors shall submit Volume V in accordance with the solicitation instructions.,0.95
SREQ-000009,GSTMT-000018,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification_requirement,,deliver,proposal_volume,quote,,UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SY,unknown,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,0.75
SREQ-000010,GSTMT-000020,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification_requirement,,deliver,proposal_volume,quote,,UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SY,unknown,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,0.75
SREQ-000011,GSTMT-000022,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 1.,0.5
SREQ-000012,GSTMT-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,"ADMINISTERED BY CODE SSS National Headquarters (NHQ) Selective Service System, 1501 Wilson Blvd, Suite 700 Same As Issuing Office Arlington, VA, 22209, US (Number, street, county, State and ZIP Code) (X) 8.",0.55
SREQ-000013,GSTMT-000024,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,AMENDMENT OF SOLICITATION NUMBER 90MC0026R0004 181 (SEE ITEM 11) 9B.,0.55
SREQ-000014,GSTMT-000025,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS □ (8) � The above numbered solicitation is amended as set forth in Item 14.,0.55
SREQ-000015,GSTMT-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,procurement_artifact,,acknowledge,proposal_volume,offer,,"prior to the hour and date specified in the solicitation or as amended, by one of the following methods",yes,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",0.85
SREQ-000016,GSTMT-000027,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,"(a) By completing items 8 and 15, and returning _____ copies of the amendment;",0.55
SREQ-000017,GSTMT-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,procurement_artifact,,,proposal_volume,offer,,,unknown,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,0.55
SREQ-000018,GSTMT-000029,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.,0.55
SREQ-000019,GSTMT-000030,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,proposal_instruction,,,process_artifact,solicitation,,,unknown,"We are currently in the process of preparing our proposal for the Selective Service System Website Modernization Requirement, Solicitation Number 90MC0026R0004.",0.55
SREQ-000020,GSTMT-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,experience_requirement,,,proposal_volume,past performance,,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate anothe",unknown,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",0.55
SREQ-000021,GSTMT-000035,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.,0.55
SREQ-000022,GSTMT-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,certification_requirement,,,certification_or_standard,nist,,If other than Item 6) CODE 8,unknown,ADMINISTERED BY (If other than Item 6) CODE 8.,0.5
SREQ-000023,GSTMT-000037,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,AMENDMENT OF SOLICITATION NUMBER 9B.,0.5
SREQ-000024,GSTMT-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.,0.55
SREQ-000025,GSTMT-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,procurement_artifact,,acknowledge,proposal_volume,offer,,"prior to the hour and date specified in the solicitation or as amended, by one of the following methods",yes,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",0.85
SREQ-000026,GSTMT-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,"(a) By completing items 8 and 15, and returning copies of the amendment;",0.55
